Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,22.70,21.61,22.87,21.01,10498725
2020-03-31,1585630800.0,25.48,24.25,25.79,23.88,9555177
2020-03-30,1585544400.0,25.00,25.71,25.99,24.07,8377553
2020-03-27,1585285200.0,26.00,25.51,26.76,25.01,9473490
2020-03-26,1585198800.0,25.81,27.51,27.70,25.50,11286661
2020-03-25,1585112400.0,23.20,25.72,27.75,22.03,14365079
2020-03-24,1585026000.0,21.03,22.93,23.30,20.74,11436769
2020-03-23,1584939600.0,18.96,19.30,20.08,18.08,9604905
2020-03-20,1584680400.0,20.81,19.23,21.25,19.14,12948460
2020-03-19,1584594000.0,18.49,20.60,21.38,17.52,11718957
2020-03-18,1584507600.0,20.62,18.78,21.29,16.07,13531026
2020-03-17,1584421200.0,23.98,22.25,24.03,20.52,15057893
2020-03-16,1584334800.0,23.88,23.25,25.32,22.40,15835890
2020-03-13,1584075600.0,27.55,28.50,28.58,25.09,11920610
2020-03-12,1583989200.0,29.66,25.67,29.78,25.50,13594514
2020-03-11,1583902800.0,33.68,32.43,34.30,31.90,10814889
2020-03-10,1583816400.0,34.58,35.07,37.18,33.17,10322098
2020-03-09,1583730000.0,34.61,32.81,35.00,30.41,19741438
2020-03-06,1583470800.0,39.16,37.84,39.55,37.42,14681430
2020-03-05,1583384400.0,41.00,40.65,41.71,40.18,9251376
2020-03-04,1583298000.0,41.91,42.54,42.65,41.37,8324248
2020-03-03,1583211600.0,42.68,41.49,43.88,41.17,11832162
2020-03-02,1583125200.0,42.11,42.85,42.89,41.43,10262199
2020-02-28,1582866000.0,42.28,42.16,42.95,41.31,10908322
2020-02-27,1582779600.0,44.34,43.41,45.19,43.39,7159503
2020-02-26,1582693200.0,45.49,45.00,46.13,44.73,7270000
2020-02-25,1582606800.0,45.85,45.24,46.34,45.19,8705976
2020-02-24,1582520400.0,47.50,45.70,47.69,45.59,9774169
2020-02-21,1582261200.0,49.55,48.60,49.78,48.59,4913794
2020-02-20,1582174800.0,49.41,49.80,49.94,49.20,5507092
2020-02-19,1582088400.0,49.40,49.41,49.78,49.10,5756034
2020-02-18,1582002000.0,48.11,49.01,49.01,47.84,9404053
2020-02-14,1581656400.0,49.86,48.48,50.66,48.29,11891212
2020-02-13,1581570000.0,55.77,50.93,56.42,50.90,13179801
