Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,86.49,86.40,88.80,85.35,2683991
2020-03-31,1585630800.0,93.40,91.73,94.19,91.21,2534960
2020-03-30,1585544400.0,88.28,94.64,95.29,85.48,2745374
2020-03-27,1585285200.0,86.11,88.46,92.59,85.13,2662532
2020-03-26,1585198800.0,83.11,89.50,90.51,83.01,3563478
2020-03-25,1585112400.0,77.86,83.00,86.71,75.01,3539566
2020-03-24,1585026000.0,78.10,77.92,79.18,75.70,3197668
2020-03-23,1584939600.0,71.74,73.23,75.92,68.86,3181239
2020-03-20,1584680400.0,76.36,73.87,78.66,70.76,3911134
2020-03-19,1584594000.0,74.13,74.69,78.52,70.73,2475797
2020-03-18,1584507600.0,81.64,75.55,83.75,64.13,3617445
2020-03-17,1584421200.0,87.16,87.94,90.65,85.27,2917937
2020-03-16,1584334800.0,78.00,84.98,90.54,78.00,3607740
2020-03-13,1584075600.0,89.46,92.77,93.06,83.10,3606114
2020-03-12,1583989200.0,86.04,83.80,90.38,83.72,4397735
2020-03-11,1583902800.0,96.25,92.77,96.68,90.55,2661990
2020-03-10,1583816400.0,99.36,99.26,100.20,94.58,2511182
2020-03-09,1583730000.0,99.57,95.61,100.16,94.02,2527123
2020-03-06,1583470800.0,104.21,107.14,107.71,103.91,3277466
2020-03-05,1583384400.0,111.15,108.46,112.09,107.04,2459881
2020-03-04,1583298000.0,111.33,114.51,114.89,110.17,1905902
2020-03-03,1583211600.0,112.43,109.20,113.58,108.00,2810344
2020-03-02,1583125200.0,104.59,112.67,112.76,104.59,2794625
2020-02-28,1582866000.0,106.58,105.25,107.90,102.91,4179813
2020-02-27,1582779600.0,114.59,109.92,115.03,109.87,2367068
2020-02-26,1582693200.0,117.96,115.73,119.01,115.72,2479025
2020-02-25,1582606800.0,120.75,117.31,120.80,117.14,2046443
2020-02-24,1582520400.0,121.45,120.54,122.37,120.18,1745582
2020-02-21,1582261200.0,123.29,123.62,124.03,122.92,1477670
2020-02-20,1582174800.0,123.99,123.46,124.48,123.05,2146134
2020-02-19,1582088400.0,124.60,124.26,125.00,123.85,1414649
2020-02-18,1582002000.0,125.40,124.30,125.92,124.11,1663721
2020-02-14,1581656400.0,124.93,125.57,125.59,124.65,1110898
2020-02-13,1581570000.0,123.65,124.89,124.92,123.20,1367476
2020-02-12,1581483600.0,125.25,123.78,125.25,122.95,1549109
2020-02-11,1581397200.0,123.90,125.10,125.41,123.72,1739604
2020-02-10,1581310800.0,124.34,123.95,124.83,123.27,1534299
2020-02-07,1581051600.0,123.87,124.43,124.76,123.61,1331592
2020-02-06,1580965200.0,124.77,123.89,125.43,123.79,1506724
2020-02-05,1580878800.0,121.07,124.67,124.94,121.07,2718384
2020-02-04,1580792400.0,120.16,119.95,121.16,119.91,1848480
2020-02-03,1580706000.0,119.00,119.05,120.07,118.80,1439702
2020-01-31,1580446800.0,119.21,118.54,120.11,118.27,1754476
