Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,167.51,153.68,167.51,152.09,1330252
2020-03-31,1585630800.0,167.75,165.04,170.00,164.01,1704033
2020-03-30,1585544400.0,167.58,171.03,173.01,162.11,1997244
2020-03-27,1585285200.0,160.79,165.42,171.53,158.23,2180024
2020-03-26,1585198800.0,163.88,165.70,167.44,161.50,2574327
2020-03-25,1585112400.0,166.29,163.15,167.99,160.61,2845771
2020-03-24,1585026000.0,150.67,166.04,167.55,150.25,2441636
2020-03-23,1584939600.0,146.71,145.48,156.35,143.93,3027811
2020-03-20,1584680400.0,152.60,149.55,155.40,145.75,3037751
2020-03-19,1584594000.0,154.35,151.08,155.84,148.00,2627018
2020-03-18,1584507600.0,156.41,155.92,158.94,145.05,2391089
2020-03-17,1584421200.0,175.03,164.47,177.41,160.83,3626104
2020-03-16,1584334800.0,160.68,170.53,176.26,154.51,3392729
2020-03-13,1584075600.0,181.25,177.45,183.09,168.05,4007126
2020-03-12,1583989200.0,175.43,173.49,181.37,169.53,4328569
2020-03-11,1583902800.0,181.48,184.98,189.95,177.66,4925626
2020-03-10,1583816400.0,184.80,183.10,189.67,175.25,4736359
2020-03-09,1583730000.0,198.39,178.93,198.45,173.43,6143479
2020-03-06,1583470800.0,209.48,214.81,216.01,206.47,1492781
2020-03-05,1583384400.0,220.53,216.78,221.66,213.77,1283604
2020-03-04,1583298000.0,218.65,225.48,225.56,216.71,1204813
2020-03-03,1583211600.0,220.95,214.80,223.13,211.56,1251982
2020-03-02,1583125200.0,208.78,221.06,221.23,208.60,2083043
2020-02-28,1582866000.0,207.04,208.00,208.68,202.34,2363682
2020-02-27,1582779600.0,219.84,212.22,221.72,212.05,1572151
2020-02-26,1582693200.0,223.64,222.49,226.30,222.19,1093711
2020-02-25,1582606800.0,227.38,222.44,228.17,221.47,1561974
2020-02-24,1582520400.0,226.93,223.30,230.15,223.07,1250267
2020-02-21,1582261200.0,234.27,231.51,234.75,230.69,890724
2020-02-20,1582174800.0,236.82,234.33,237.38,232.31,791481
2020-02-19,1582088400.0,236.65,237.43,238.19,235.35,1422471
2020-02-18,1582002000.0,233.32,235.27,235.46,232.54,760167
2020-02-14,1581656400.0,234.89,235.73,235.81,233.75,585481
2020-02-13,1581570000.0,230.91,234.58,234.59,230.76,790272
2020-02-12,1581483600.0,230.68,230.92,232.04,230.05,589021
2020-02-11,1581397200.0,232.00,231.22,233.63,231.11,822377
2020-02-10,1581310800.0,229.64,231.07,231.23,229.14,688406
2020-02-07,1581051600.0,229.87,230.13,230.60,228.88,918946
2020-02-06,1580965200.0,228.41,229.60,230.04,227.91,873070
2020-02-05,1580878800.0,229.46,228.30,229.65,226.57,1025808
2020-02-04,1580792400.0,227.00,226.64,228.63,226.48,1504081
2020-02-03,1580706000.0,222.22,225.03,225.75,221.43,1193163
2020-01-31,1580446800.0,223.76,220.25,227.71,219.76,1383509
2020-01-30,1580360400.0,215.08,219.63,219.85,214.56,1213369
2020-01-29,1580274000.0,217.00,216.58,218.44,216.27,839823
2020-01-28,1580187600.0,212.25,216.56,217.72,212.25,982155
2020-01-27,1580101200.0,210.65,211.95,213.22,210.65,493658
2020-01-24,1579842000.0,213.71,213.42,214.84,211.79,639631
2020-01-23,1579755600.0,210.72,213.10,213.29,210.17,891635
2020-01-22,1579669200.0,211.54,211.91,212.83,211.40,634902
2020-01-21,1579582800.0,211.30,211.26,212.28,210.17,1045270
2020-01-17,1579237200.0,210.90,211.85,211.96,210.36,943269
2020-01-16,1579150800.0,210.17,210.15,210.98,209.11,548803
2020-01-15,1579064400.0,207.69,209.03,210.32,206.97,534518
2020-01-14,1578978000.0,208.60,207.65,209.24,206.74,606501
2020-01-13,1578891600.0,208.31,209.07,209.46,207.55,547069
2020-01-10,1578632400.0,209.38,208.06,209.83,207.56,448430
2020-01-09,1578546000.0,208.61,209.10,209.54,208.10,528942
2020-01-08,1578459600.0,206.97,207.65,209.10,206.50,691728
2020-01-07,1578373200.0,205.47,206.80,208.51,205.47,495481
2020-01-06,1578286800.0,207.23,208.57,208.57,206.77,741049
2020-01-03,1578027600.0,207.01,207.97,208.91,207.01,501668
2020-01-02,1577941200.0,209.20,208.79,209.88,207.89,830135
2019-12-31,1577768400.0,207.59,208.29,208.41,207.00,508887
2019-12-30,1577682000.0,207.97,207.64,208.36,205.97,541071
2019-12-27,1577422800.0,208.29,207.51,208.36,205.42,1712266
2019-12-26,1577336400.0,208.05,207.95,208.33,206.92,628502
2019-12-24,1577163600.0,207.78,207.70,207.97,206.21,275928
2019-12-23,1577077200.0,210.82,207.80,210.82,207.25,725938
2019-12-20,1576818000.0,211.57,209.93,212.65,208.93,1547502
2019-12-19,1576731600.0,207.62,209.73,209.82,206.29,754966
2019-12-18,1576645200.0,207.97,206.03,208.16,205.28,1334726
2019-12-17,1576558800.0,207.23,207.60,208.31,206.68,1372827
2019-12-16,1576472400.0,207.39,207.01,208.00,205.18,742010
2019-12-13,1576213200.0,204.67,206.15,206.56,202.84,1186529
2019-12-12,1576126800.0,204.78,205.88,206.07,204.25,772796
2019-12-11,1576040400.0,205.36,205.17,206.19,204.22,473458
2019-12-10,1575954000.0,205.26,205.20,205.91,203.99,436710
2019-12-09,1575867600.0,205.68,205.51,206.25,204.14,610787
2019-12-06,1575608400.0,205.00,205.99,206.78,204.10,763268
2019-12-05,1575522000.0,202.91,203.45,204.02,200.61,1175366
2019-12-04,1575435600.0,199.99,202.21,202.27,199.54,502741
2019-12-03,1575349200.0,200.64,199.99,201.18,198.60,518865
2019-12-02,1575262800.0,204.12,201.60,204.12,201.22,589225
2019-11-29,1575003600.0,203.45,203.61,204.50,202.41,415940
2019-11-27,1574830800.0,203.18,204.27,205.87,202.36,668650
2019-11-26,1574744400.0,200.66,203.23,204.00,200.24,1198582
2019-11-25,1574658000.0,200.00,200.48,202.00,199.69,713425
2019-11-22,1574398800.0,199.01,199.58,199.69,197.83,626810
2019-11-21,1574312400.0,200.98,198.80,201.17,198.56,878181
2019-11-20,1574226000.0,199.37,201.53,201.78,199.00,855812
2019-11-19,1574139600.0,198.78,199.62,201.00,198.01,1267236
2019-11-18,1574053200.0,196.99,197.90,198.88,196.66,1234882
2019-11-15,1573794000.0,199.00,198.71,199.76,197.11,1672985
2019-11-14,1573707600.0,196.24,198.35,198.80,195.23,856868
2019-11-13,1573621200.0,194.15,196.44,197.23,193.90,937874
2019-11-12,1573534800.0,194.17,195.00,195.49,193.39,618265
2019-11-11,1573448400.0,192.77,194.38,194.89,192.52,596744
2019-11-08,1573189200.0,193.12,194.57,194.58,191.21,806500
2019-11-07,1573102800.0,195.82,194.40,195.82,193.50,759732
2019-11-06,1573016400.0,192.88,194.74,194.85,192.41,965008
2019-11-05,1572930000.0,194.79,193.13,195.76,191.99,1140214
2019-11-04,1572843600.0,197.02,194.65,197.24,194.42,789666
2019-11-01,1572584400.0,194.50,195.85,196.45,193.78,804668
2019-10-31,1572498000.0,193.01,193.16,195.84,191.67,806453
2019-10-30,1572411600.0,189.22,194.65,194.83,187.58,803358
2019-10-29,1572325200.0,187.97,188.57,192.25,187.60,2497422
2019-10-28,1572238800.0,189.44,187.79,189.98,187.65,821807
2019-10-25,1571979600.0,193.95,188.65,193.95,188.07,1387993
2019-10-24,1571893200.0,191.73,191.34,192.06,190.13,1288003
2019-10-23,1571806800.0,193.55,191.44,194.39,190.25,855997
2019-10-22,1571720400.0,194.55,193.42,196.75,190.90,719445
2019-10-21,1571634000.0,194.14,195.03,195.06,192.94,497915
2019-10-18,1571374800.0,193.75,192.91,193.98,192.49,873819
2019-10-17,1571288400.0,193.36,193.45,195.07,192.63,458025
2019-10-16,1571202000.0,191.66,192.93,192.95,190.38,513688
2019-10-15,1571115600.0,192.39,192.29,193.37,191.58,515629
2019-10-14,1571029200.0,190.89,191.28,192.67,190.15,363270
2019-10-11,1570770000.0,190.96,191.10,192.73,190.29,552519
2019-10-10,1570683600.0,186.57,188.89,189.93,185.99,658031
2019-10-09,1570597200.0,188.10,186.64,188.80,185.51,522556
2019-10-08,1570510800.0,189.10,185.71,189.19,185.65,654355
2019-10-07,1570424400.0,190.92,190.43,191.85,189.67,385401
2019-10-04,1570165200.0,187.84,192.00,192.09,187.84,497878
2019-10-03,1570078800.0,186.00,187.24,187.50,184.55,657599
2019-10-02,1569992400.0,188.23,186.00,189.35,184.52,830336
2019-10-01,1569906000.0,194.59,189.72,195.30,189.67,559285
2019-09-30,1569819600.0,193.58,193.57,194.38,193.11,608764
2019-09-27,1569560400.0,195.45,193.47,195.95,192.11,506831
2019-09-26,1569474000.0,194.84,194.73,195.55,193.37,845783
2019-09-25,1569387600.0,192.53,194.41,194.75,191.84,933255
2019-09-24,1569301200.0,193.35,192.60,194.88,191.64,971274
2019-09-23,1569214800.0,191.66,192.76,193.84,191.23,622684
2019-09-20,1568955600.0,194.65,193.00,195.00,191.83,1769610
2019-09-19,1568869200.0,193.94,194.22,195.65,193.42,556384
2019-09-18,1568782800.0,193.80,194.11,194.57,191.73,556895
2019-09-17,1568696400.0,191.60,194.52,194.53,190.01,635533
2019-09-16,1568610000.0,189.74,191.12,191.32,188.67,544657
2019-09-13,1568350800.0,190.34,190.88,192.00,188.40,720327
2019-09-12,1568264400.0,189.09,189.76,190.72,188.34,827811
2019-09-11,1568178000.0,187.90,188.38,191.17,187.44,918264
2019-09-10,1568091600.0,193.18,187.29,193.18,185.30,1717978
2019-09-09,1568005200.0,196.40,193.43,196.40,192.46,661331
2019-09-06,1567746000.0,196.00,195.28,196.84,195.16,529855
2019-09-05,1567659600.0,197.29,195.60,198.09,195.05,628554
2019-09-04,1567573200.0,193.39,195.40,195.47,193.11,680278
2019-09-03,1567486800.0,193.29,192.61,194.11,191.43,732572
2019-08-30,1567141200.0,193.60,194.85,195.50,193.48,696904
2019-08-29,1567054800.0,192.00,192.19,193.80,191.11,526595
2019-08-28,1566968400.0,190.49,190.55,190.76,189.08,492614
2019-08-27,1566882000.0,192.14,191.14,193.10,190.07,675635
2019-08-26,1566795600.0,190.43,191.52,191.59,188.88,427979
2019-08-23,1566536400.0,193.40,189.12,194.63,188.18,786158
2019-08-22,1566450000.0,193.49,194.12,194.73,191.73,493496
2019-08-21,1566363600.0,192.73,193.17,193.92,191.99,651868
2019-08-20,1566277200.0,193.80,191.33,194.58,191.11,683376
2019-08-19,1566190800.0,192.50,194.30,195.47,192.50,696592
2019-08-16,1565931600.0,190.28,191.51,192.29,188.86,835817
2019-08-15,1565845200.0,186.94,189.18,189.93,186.29,861382
2019-08-14,1565758800.0,188.47,187.16,190.66,186.87,1338837
2019-08-13,1565672400.0,186.18,190.98,191.29,185.20,888812
2019-08-12,1565586000.0,188.03,186.25,189.07,185.59,508165
2019-08-09,1565326800.0,189.93,189.43,191.11,187.30,693489
2019-08-08,1565240400.0,187.19,189.70,190.35,187.06,925388
2019-08-07,1565154000.0,186.15,186.37,187.16,183.33,871992
2019-08-06,1565067600.0,183.51,187.39,187.51,183.28,840405
2019-08-05,1564981200.0,188.91,183.25,189.30,181.89,1324983
2019-08-02,1564722000.0,189.91,191.04,192.29,188.77,810835
2019-08-01,1564635600.0,188.94,189.97,193.36,188.39,721399
2019-07-31,1564549200.0,192.91,189.25,194.13,187.87,811825
2019-07-30,1564462800.0,195.14,193.17,195.14,192.43,877687
2019-07-29,1564376400.0,194.56,195.79,197.04,194.08,840213
2019-07-26,1564117200.0,196.71,194.56,198.00,192.97,1851080
2019-07-25,1564030800.0,196.99,196.85,197.39,195.70,827445
2019-07-24,1563944400.0,194.23,195.89,195.92,193.36,683675
2019-07-23,1563858000.0,194.19,194.70,195.01,193.37,629922
2019-07-22,1563771600.0,195.10,194.15,195.71,193.87,493746
2019-07-19,1563512400.0,197.40,194.91,197.40,194.67,593259
2019-07-18,1563426000.0,195.23,197.04,197.44,194.10,660938
2019-07-17,1563339600.0,196.95,194.76,197.30,194.73,584155
2019-07-16,1563253200.0,197.90,197.08,197.96,196.69,454326
2019-07-15,1563166800.0,197.90,197.53,197.99,197.12,739425
2019-07-12,1562907600.0,197.49,197.47,197.60,196.25,450842
2019-07-11,1562821200.0,197.95,196.64,197.95,196.10,584782
2019-07-10,1562734800.0,197.03,197.82,197.95,196.13,630645
2019-07-09,1562648400.0,195.76,196.55,196.60,194.92,629169
2019-07-08,1562562000.0,197.28,196.47,197.67,196.44,635633
2019-07-05,1562302800.0,198.05,197.58,198.05,195.74,444340
2019-07-03,1562130000.0,196.18,198.48,198.61,196.09,481796
2019-07-02,1562043600.0,195.44,195.93,196.50,194.43,588862
2019-07-01,1561957200.0,194.37,195.14,195.15,192.96,739977
2019-06-28,1561698000.0,193.20,192.98,193.69,191.94,905738
2019-06-27,1561611600.0,190.20,192.57,192.76,189.43,490732
2019-06-26,1561525200.0,193.21,189.89,194.26,189.53,861622
2019-06-25,1561438800.0,193.40,193.25,194.51,193.09,737732
2019-06-24,1561352400.0,192.43,193.52,194.15,192.38,870954
2019-06-21,1561093200.0,193.55,192.02,194.00,191.89,1535795
2019-06-20,1561006800.0,192.81,193.52,194.00,191.97,930362
2019-06-19,1560920400.0,189.67,192.00,192.25,189.67,759106
2019-06-18,1560834000.0,189.57,190.13,190.87,188.77,657722
2019-06-17,1560747600.0,191.24,188.81,191.48,188.52,632257
2019-06-14,1560488400.0,189.13,190.76,191.71,188.69,678042
2019-06-13,1560402000.0,189.33,189.68,190.26,188.52,788027
2019-06-12,1560315600.0,189.99,189.23,191.58,188.91,781360
2019-06-11,1560229200.0,191.47,189.45,191.97,188.69,878675
2019-06-10,1560142800.0,191.71,190.87,192.79,190.51,1010600
2019-06-07,1559883600.0,187.25,190.24,191.60,187.23,1036990
2019-06-06,1559797200.0,187.92,187.74,188.30,186.66,792329
2019-06-05,1559710800.0,183.46,187.46,187.48,182.96,1093664
2019-06-04,1559624400.0,183.00,182.81,183.25,180.75,1024680
2019-06-03,1559538000.0,180.50,182.10,182.23,179.93,867949
2019-05-31,1559278800.0,180.93,180.07,182.14,179.65,933357
2019-05-30,1559192400.0,179.84,181.76,182.14,179.59,1083235
2019-05-29,1559106000.0,178.89,179.12,179.71,177.01,878089
2019-05-28,1559019600.0,178.00,179.31,180.20,177.51,2300833
2019-05-24,1558674000.0,178.57,177.79,178.61,176.75,864730
2019-05-23,1558587600.0,180.22,178.25,180.25,177.40,1096557
2019-05-22,1558501200.0,179.54,180.96,181.12,178.48,1022478
2019-05-21,1558414800.0,179.15,180.35,180.79,179.15,881079
2019-05-20,1558328400.0,180.21,178.53,180.52,178.10,762191
2019-05-17,1558069200.0,179.85,180.54,181.66,179.52,1095409
