Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,80.65,77.84,81.31,77.00,8313414
2020-03-31,1585630800.0,89.94,85.61,90.90,85.07,6076864
2020-03-30,1585544400.0,88.51,90.27,91.39,85.27,5564975
2020-03-27,1585285200.0,87.94,88.73,91.97,85.82,7000135
2020-03-26,1585198800.0,92.24,93.29,99.69,90.84,9461911
2020-03-25,1585112400.0,87.61,90.17,96.46,85.32,11046485
2020-03-24,1585026000.0,73.51,84.05,84.77,71.70,10593890
2020-03-23,1584939600.0,72.82,68.96,75.42,68.12,8907637
2020-03-20,1584680400.0,78.98,74.12,82.44,72.56,12208558
2020-03-19,1584594000.0,72.54,77.07,77.89,69.79,12330397
2020-03-18,1584507600.0,80.02,73.75,81.52,67.00,14359270
2020-03-17,1584421200.0,87.61,86.58,88.94,83.22,10512212
2020-03-16,1584334800.0,82.44,85.87,93.18,80.37,15072429
2020-03-13,1584075600.0,90.38,99.60,100.08,84.30,12680441
2020-03-12,1583989200.0,87.66,83.53,89.61,81.81,12206638
2020-03-11,1583902800.0,100.30,95.38,100.96,93.87,8823339
2020-03-10,1583816400.0,101.93,103.30,103.37,97.45,9793181
2020-03-09,1583730000.0,100.87,98.29,101.44,96.94,12266266
2020-03-06,1583470800.0,105.73,108.24,108.77,103.79,9897802
2020-03-05,1583384400.0,111.62,110.94,112.59,109.70,12060575
2020-03-04,1583298000.0,110.25,115.70,115.79,109.25,7470920
2020-03-03,1583211600.0,115.02,108.01,116.40,107.00,9285025
2020-03-02,1583125200.0,111.11,113.87,113.99,108.59,9851607
2020-02-28,1582866000.0,109.05,109.93,111.03,107.00,11363607
2020-02-27,1582779600.0,115.90,112.81,117.48,112.78,8279823
2020-02-26,1582693200.0,121.27,118.50,122.43,118.47,5269710
2020-02-25,1582606800.0,127.71,120.90,127.99,119.91,7628112
2020-02-24,1582520400.0,129.43,128.19,130.96,127.23,6329285
2020-02-21,1582261200.0,136.20,134.90,136.27,133.89,3106406
2020-02-20,1582174800.0,136.41,136.58,138.04,134.90,2541728
2020-02-19,1582088400.0,136.30,136.93,137.42,136.12,1785417
2020-02-18,1582002000.0,135.87,135.60,136.75,134.94,2428250
2020-02-14,1581656400.0,134.71,135.87,136.37,134.53,2360549
