Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,31.95,32.70,33.10,31.38,7727181
2020-03-31,1585630800.0,33.56,33.68,34.88,33.29,7049836
2020-03-30,1585544400.0,32.60,34.00,34.18,31.72,6232210
2020-03-27,1585285200.0,31.63,32.54,33.53,31.28,5764585
2020-03-26,1585198800.0,31.93,33.00,33.17,30.93,8442571
2020-03-25,1585112400.0,31.51,31.64,32.89,29.51,9866701
2020-03-24,1585026000.0,29.21,31.00,31.59,29.17,9411694
2020-03-23,1584939600.0,28.81,27.49,28.96,26.93,8555226
2020-03-20,1584680400.0,30.30,29.07,31.31,28.87,9555948
2020-03-19,1584594000.0,28.46,30.00,31.32,27.70,7907605
2020-03-18,1584507600.0,28.06,28.76,29.54,26.40,10176628
2020-03-17,1584421200.0,30.13,29.97,30.60,28.19,11954602
2020-03-16,1584334800.0,29.14,29.18,32.62,29.00,9714885
2020-03-13,1584075600.0,31.75,34.13,34.13,30.45,9089324
2020-03-12,1583989200.0,31.85,29.52,32.34,29.40,9726587
2020-03-11,1583902800.0,35.62,34.20,35.92,33.70,8600293
2020-03-10,1583816400.0,36.51,36.55,36.61,35.04,8741406
2020-03-09,1583730000.0,34.80,34.95,37.44,34.20,8351880
2020-03-06,1583470800.0,37.57,38.07,38.74,37.36,9299774
2020-03-05,1583384400.0,38.56,39.30,40.12,38.16,10984106
2020-03-04,1583298000.0,39.31,40.50,40.91,38.65,12017480
2020-03-03,1583211600.0,40.89,38.83,40.94,38.10,14057775
2020-03-02,1583125200.0,40.03,40.96,40.96,39.20,11490654
2020-02-28,1582866000.0,39.52,39.90,40.07,38.54,14506949
2020-02-27,1582779600.0,40.51,40.96,42.82,40.23,11049294
2020-02-26,1582693200.0,41.82,41.37,42.07,41.19,6741572
2020-02-25,1582606800.0,43.21,41.59,43.42,41.33,5765061
2020-02-24,1582520400.0,44.02,43.13,44.12,42.90,5088329
2020-02-21,1582261200.0,45.51,45.04,45.74,44.83,5058517
2020-02-20,1582174800.0,45.80,45.83,46.30,45.60,2925869
2020-02-19,1582088400.0,45.30,45.92,46.01,45.20,3956973
2020-02-18,1582002000.0,45.80,45.29,46.03,45.18,3253802
2020-02-14,1581656400.0,46.10,45.90,46.23,45.69,3770824
2020-02-13,1581570000.0,46.44,46.03,46.60,45.96,2699350
2020-02-12,1581483600.0,46.81,46.56,47.20,46.51,2631647
2020-02-11,1581397200.0,46.66,46.42,46.80,46.31,3480555
2020-02-10,1581310800.0,46.98,46.49,47.06,46.34,3079060
2020-02-07,1581051600.0,47.23,47.25,47.51,46.98,3866985
2020-02-06,1580965200.0,47.25,47.54,47.63,47.06,5696917
2020-02-05,1580878800.0,46.48,46.98,47.20,46.45,5209430
2020-02-04,1580792400.0,45.84,45.95,46.63,45.83,6870934
2020-02-03,1580706000.0,45.04,45.21,45.88,44.92,6482200
