Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,418.11,409.54,424.50,401.90,1163679
2020-03-31,1585630800.0,451.89,439.97,458.63,436.99,1390256
2020-03-30,1585544400.0,438.00,455.35,456.25,434.51,1177358
2020-03-27,1585285200.0,428.54,434.34,449.48,421.12,1044182
2020-03-26,1585198800.0,408.06,451.90,454.50,405.57,1598329
2020-03-25,1585112400.0,384.90,401.38,439.99,377.00,1950996
2020-03-24,1585026000.0,349.30,371.70,373.06,346.29,1319554
2020-03-23,1584939600.0,354.72,327.42,354.72,326.28,1422874
2020-03-20,1584680400.0,401.01,354.72,402.40,350.96,1363213
2020-03-19,1584594000.0,367.29,397.36,415.15,351.30,1593658
2020-03-18,1584507600.0,357.17,373.36,374.57,323.98,1969554
2020-03-17,1584421200.0,366.21,386.76,398.24,355.39,1609663
2020-03-16,1584334800.0,368.44,357.28,376.57,354.01,1569371
2020-03-13,1584075600.0,415.11,413.78,419.24,388.00,1579445
2020-03-12,1583989200.0,398.38,386.22,420.00,383.43,1669907
2020-03-11,1583902800.0,445.00,430.97,447.99,422.17,1263679
2020-03-10,1583816400.0,441.33,459.00,459.02,434.23,1608337
2020-03-09,1583730000.0,411.39,419.01,436.10,405.15,1478230
2020-03-06,1583470800.0,452.04,450.41,458.96,440.52,1460371
2020-03-05,1583384400.0,477.37,472.47,482.40,464.58,1022212
2020-03-04,1583298000.0,488.09,495.31,497.77,479.30,1175004
2020-03-03,1583211600.0,488.34,482.07,503.98,476.18,1589823
2020-03-02,1583125200.0,467.14,487.94,488.18,461.57,1278217
2020-02-28,1582866000.0,459.25,463.01,465.41,449.02,2039371
2020-02-27,1582779600.0,495.64,475.82,500.86,475.78,1286083
2020-02-26,1582693200.0,508.17,508.47,517.96,505.49,959697
2020-02-25,1582606800.0,530.26,506.00,531.13,502.47,1064637
2020-02-24,1582520400.0,536.05,528.00,541.31,527.65,1063898
2020-02-21,1582261200.0,563.41,557.00,564.85,555.00,494166
2020-02-20,1582174800.0,570.00,566.92,572.95,560.62,475404
2020-02-19,1582088400.0,567.98,572.07,573.00,566.19,383200
2020-02-18,1582002000.0,565.00,564.81,565.22,562.31,403248
2020-02-14,1581656400.0,565.74,565.94,568.92,562.71,472391
2020-02-13,1581570000.0,568.69,568.55,572.75,567.37,479675
2020-02-12,1581483600.0,574.84,572.48,576.81,570.01,426314
2020-02-11,1581397200.0,564.05,570.44,571.31,563.88,598959
2020-02-10,1581310800.0,553.44,561.10,561.25,553.30,744099
2020-02-07,1581051600.0,550.00,555.74,556.01,549.50,712908
2020-02-06,1580965200.0,548.07,554.67,555.24,541.33,824432
2020-02-05,1580878800.0,543.84,543.48,546.68,537.47,942967
2020-02-04,1580792400.0,538.17,535.24,540.32,531.45,851764
2020-02-03,1580706000.0,530.23,530.08,537.15,529.80,503076
2020-01-31,1580446800.0,537.94,527.35,539.09,525.18,646420
2020-01-30,1580360400.0,531.04,539.69,540.26,528.91,510956
