Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,105.95,104.17,107.99,102.61,2313187
2020-03-31,1585630800.0,112.62,111.69,113.97,110.36,3075452
2020-03-30,1585544400.0,108.64,114.04,114.71,105.63,2792713
2020-03-27,1585285200.0,104.81,108.41,113.48,104.08,3714833
2020-03-26,1585198800.0,102.82,109.22,110.35,100.50,4073861
2020-03-25,1585112400.0,101.69,101.80,108.35,97.03,4168068
2020-03-24,1585026000.0,98.77,102.56,102.93,96.37,3525120
2020-03-23,1584939600.0,97.31,94.20,101.55,92.04,3960999
2020-03-20,1584680400.0,99.00,101.56,103.98,93.10,4849674
2020-03-19,1584594000.0,97.46,98.53,100.89,93.84,3600927
2020-03-18,1584507600.0,102.99,99.81,108.31,87.35,4346701
2020-03-17,1584421200.0,103.63,110.08,110.34,97.78,4513359
2020-03-16,1584334800.0,107.75,101.42,114.28,100.69,4112695
2020-03-13,1584075600.0,122.71,121.86,123.42,113.05,5280191
2020-03-12,1583989200.0,124.00,116.74,126.53,116.55,3339938
2020-03-11,1583902800.0,135.05,131.29,136.65,129.67,2664207
2020-03-10,1583816400.0,139.07,139.10,139.32,133.88,2602207
2020-03-09,1583730000.0,135.65,134.97,142.00,131.96,3246591
2020-03-06,1583470800.0,139.87,144.82,145.45,139.26,3488926
2020-03-05,1583384400.0,148.18,144.89,148.18,143.13,2569453
2020-03-04,1583298000.0,147.90,151.94,152.27,146.64,2147928
2020-03-03,1583211600.0,152.12,146.18,153.56,145.24,2838270
2020-03-02,1583125200.0,145.13,151.81,152.14,145.01,3069488
2020-02-28,1582866000.0,146.98,145.03,147.80,142.24,3792933
2020-02-27,1582779600.0,156.24,150.11,158.09,150.05,3119006
2020-02-26,1582693200.0,158.23,158.03,160.14,156.88,2354731
2020-02-25,1582606800.0,160.26,157.21,160.73,156.55,2502152
2020-02-24,1582520400.0,160.86,160.49,162.66,159.73,1919168
2020-02-21,1582261200.0,162.65,163.75,164.05,162.65,1267980
2020-02-20,1582174800.0,163.74,163.15,164.00,162.68,2265556
2020-02-19,1582088400.0,163.94,164.21,164.39,162.58,1451074
2020-02-18,1582002000.0,164.42,163.50,164.76,163.08,1366057
2020-02-14,1581656400.0,164.66,164.56,165.24,163.05,1246348
2020-02-13,1581570000.0,163.74,164.83,165.23,163.24,1612687
2020-02-12,1581483600.0,164.77,163.89,165.77,163.72,1174581
2020-02-11,1581397200.0,163.19,164.14,164.36,162.32,1718570
2020-02-10,1581310800.0,162.76,163.35,163.36,162.00,1511040
2020-02-07,1581051600.0,162.61,162.73,164.53,162.24,1908196
2020-02-06,1580965200.0,166.00,163.22,167.74,162.79,3035639
2020-02-05,1580878800.0,160.28,165.33,165.40,157.35,3119425
2020-02-04,1580792400.0,154.61,154.30,155.72,154.15,1880786
2020-02-03,1580706000.0,152.56,153.23,154.85,152.29,1831906
2020-01-31,1580446800.0,153.59,151.99,154.51,151.25,2336261
2020-01-30,1580360400.0,150.11,154.14,154.27,150.06,1267132
2020-01-29,1580274000.0,151.56,150.89,152.26,150.79,1266223
2020-01-28,1580187600.0,150.87,150.96,152.46,150.75,1716461
2020-01-27,1580101200.0,150.99,150.38,151.88,150.38,1163104
2020-01-24,1579842000.0,151.94,152.01,153.14,151.60,1476408
2020-01-23,1579755600.0,152.21,152.09,152.94,149.09,2514027
2020-01-22,1579669200.0,153.05,153.83,153.90,152.71,1098038
2020-01-21,1579582800.0,153.00,152.74,153.63,152.08,1426977
2020-01-17,1579237200.0,152.65,153.69,154.14,152.60,2009271
2020-01-16,1579150800.0,151.62,152.66,153.12,151.37,1101849
2020-01-15,1579064400.0,150.24,151.29,151.47,149.45,1367888
2020-01-14,1578978000.0,150.38,150.76,151.81,150.28,1410594
2020-01-13,1578891600.0,150.78,150.90,151.22,149.53,1672608
2020-01-10,1578632400.0,153.56,150.99,154.45,150.11,2362965
2020-01-09,1578546000.0,153.51,153.95,154.05,152.50,1796871
2020-01-08,1578459600.0,153.70,152.87,154.80,152.67,2106261
2020-01-07,1578373200.0,154.12,153.92,155.36,153.64,1507012
2020-01-06,1578286800.0,155.33,157.06,157.09,155.01,1281765
2020-01-03,1578027600.0,154.76,155.78,156.00,154.13,1175954
