Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,39.14,38.51,40.25,38.00,29219521
2020-03-31,1585630800.0,43.63,42.12,44.23,41.65,26219109
2020-03-30,1585544400.0,44.05,44.08,44.26,41.57,27459001
2020-03-27,1585285200.0,44.13,43.80,45.50,43.00,25484515
2020-03-26,1585198800.0,43.68,46.02,46.29,43.00,31566032
2020-03-25,1585112400.0,42.31,41.86,44.70,39.43,38211105
2020-03-24,1585026000.0,37.65,40.66,40.92,37.34,34100579
2020-03-23,1584939600.0,37.55,35.39,38.15,34.62,33013303
2020-03-20,1584680400.0,40.46,38.06,40.99,37.20,38163900
2020-03-19,1584594000.0,35.47,39.64,41.24,34.20,43397147
2020-03-18,1584507600.0,37.06,36.43,37.99,32.00,48351376
2020-03-17,1584421200.0,42.00,40.25,43.98,38.80,51650016
2020-03-16,1584334800.0,40.49,41.19,45.23,39.57,35133764
2020-03-13,1584075600.0,47.82,51.04,51.24,45.31,40519843
2020-03-12,1583989200.0,45.30,43.26,49.00,42.82,45941590
2020-03-11,1583902800.0,53.95,50.79,54.33,50.02,36731404
2020-03-10,1583816400.0,54.73,55.58,55.70,51.50,32527538
2020-03-09,1583730000.0,54.31,51.37,55.61,51.00,35625570
2020-03-06,1583470800.0,60.46,61.28,62.31,59.74,29916593
2020-03-05,1583384400.0,64.80,63.49,65.12,63.01,27277560
2020-03-04,1583298000.0,66.05,67.39,67.52,64.36,24188500
2020-03-03,1583211600.0,67.86,65.05,68.43,64.47,29547744
2020-03-02,1583125200.0,63.85,67.59,67.61,63.12,29006418
2020-02-28,1582866000.0,62.00,63.46,64.45,61.34,46029788
2020-02-27,1582779600.0,66.10,64.45,66.89,64.40,34656830
2020-02-26,1582693200.0,70.02,68.18,70.61,68.16,25579944
2020-02-25,1582606800.0,72.63,69.43,73.21,69.00,27451032
2020-02-24,1582520400.0,73.38,72.53,74.05,72.44,21096233
2020-02-21,1582261200.0,77.56,76.44,77.96,76.15,14020006
2020-02-20,1582174800.0,77.66,78.22,78.69,77.31,11763378
2020-02-19,1582088400.0,77.87,78.05,78.39,77.62,9145241
2020-02-18,1582002000.0,78.61,77.58,78.86,77.51,10364196
2020-02-14,1581656400.0,78.89,78.79,79.09,78.45,9056594
2020-02-13,1581570000.0,78.89,79.00,79.28,78.62,8946172
2020-02-12,1581483600.0,79.90,79.33,80.77,79.30,9484132
2020-02-11,1581397200.0,78.75,79.09,79.55,78.64,9437214
2020-02-10,1581310800.0,78.08,78.48,78.74,78.05,8418259
2020-02-07,1581051600.0,78.13,78.69,79.05,78.06,8341713
2020-02-06,1580965200.0,79.80,78.97,79.86,78.40,12826362
2020-02-05,1580878800.0,77.92,78.85,78.98,77.81,13070420
2020-02-04,1580792400.0,76.75,76.50,77.27,76.43,12173168
2020-02-03,1580706000.0,74.70,75.13,76.21,74.70,11099179
2020-01-31,1580446800.0,75.96,74.41,76.18,73.91,17101153
2020-01-30,1580360400.0,75.74,77.43,77.54,75.50,12498150
2020-01-29,1580274000.0,77.54,76.48,77.90,76.41,9480350
2020-01-28,1580187600.0,77.21,77.24,78.13,76.78,10960222
2020-01-27,1580101200.0,76.26,76.71,77.00,75.85,15859617
2020-01-24,1579842000.0,79.62,78.42,79.67,77.64,15036072
2020-01-23,1579755600.0,79.58,79.80,80.08,78.92,11618424
2020-01-22,1579669200.0,80.20,80.10,80.48,79.86,8045841
2020-01-21,1579582800.0,80.48,79.90,80.91,79.87,10522035
2020-01-17,1579237200.0,81.16,81.12,81.40,80.81,12413057
2020-01-16,1579150800.0,81.96,81.00,82.13,80.85,10425964
2020-01-15,1579064400.0,81.73,81.24,82.05,80.73,16063566
2020-01-14,1578978000.0,81.20,81.91,83.11,80.97,24975432
2020-01-13,1578891600.0,79.50,80.65,80.72,79.00,16587547
2020-01-10,1578632400.0,80.00,79.25,80.01,79.07,10062875
2020-01-09,1578546000.0,80.98,80.08,80.98,79.73,12897119
2020-01-08,1578459600.0,78.77,79.36,80.00,78.68,11293787
2020-01-07,1578373200.0,79.29,78.76,79.30,78.73,10494453
2020-01-06,1578286800.0,78.72,79.45,79.55,78.72,10066508
2020-01-03,1578027600.0,79.80,79.70,80.52,79.45,12657007
2020-01-02,1577941200.0,80.13,81.23,81.26,80.03,12734566
2019-12-31,1577768400.0,79.32,79.89,79.94,79.10,8032049
2019-12-30,1577682000.0,80.15,79.51,80.42,79.34,10087143
2019-12-27,1577422800.0,80.00,79.67,80.18,79.58,10867891
2019-12-26,1577336400.0,78.75,79.83,79.84,78.65,11996442
2019-12-24,1577163600.0,78.70,78.59,78.94,78.46,4576212
2019-12-23,1577077200.0,78.67,78.76,78.97,78.44,9258210
2019-12-20,1576818000.0,78.94,78.51,79.05,78.04,32019420
