symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time,last_trade_time_unix_utc,pe,eps
BAC,Bank of America Corporation,USD,20.57,19.65,20.79,19.59,35.72,17.95,0.80,4.05,19.77,179468517376,69192886,117991112,8724769792,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,7.48,2.75
BRK.B,Berkshire Hathaway Inc.,USD,179.73,175.00,180.31,174.23,231.61,159.50,3.78,2.15,175.95,435020300288,7125265,11771350,1382349952,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,0.00,49828.45
C,Citigroup Inc.,USD,39.23,38.36,39.66,37.30,83.11,32.00,0.72,1.87,38.51,82312781824,28700869,30651662,2098210048,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,4.88,8.04
JPM,JPMorgan Chase & Co.,USD,87.51,83.51,87.91,82.96,141.10,76.91,3.15,3.73,84.36,269003980800,23386199,29739350,3084000000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,8.16,10.72
WFC,Wells Fargo & Company,USD,27.22,26.47,27.53,26.40,54.75,25.11,0.65,2.45,26.57,111313469440,27969795,45007400,4089400064,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,6.72,4.05
AXP,American Express Company,USD,76.66,77.06,79.12,75.83,138.13,67.00,-0.75,-0.97,77.41,61770944512,8203136,8369462,805777984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,9.59,7.99
BLK,"BlackRock, Inc.",USD,426.53,408.18,433.87,406.19,576.81,323.98,16.99,4.15,409.54,66450812928,622890,1383250,154828000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,15.00,28.43
GS,"The Goldman Sachs Group, Inc.",USD,149.93,143.02,150.45,141.67,250.46,130.85,4.64,3.19,145.29,51557023744,4378700,5510687,343873984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,7.13,21.03
MS,Morgan Stanley,USD,33.90,31.34,34.00,31.25,57.57,27.20,2.28,7.21,31.62,51948363776,20713780,24777962,1532400000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,6.53,5.19
USB,U.S. Bancorp,USD,32.67,31.60,33.08,31.45,61.11,28.59,0.74,2.32,31.93,49699561472,8166987,13092125,1521260032,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,7.85,4.16
CB,Chubb Limited,USD,105.93,103.68,108.38,103.42,167.74,87.35,1.76,1.69,104.17,47870615552,2198083,3453000,451972000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,10.91,9.71
PNC,"The PNC Financial Services Group, Inc.",USD,90.73,87.33,91.97,85.86,161.79,79.41,3.38,3.87,87.35,38898401280,2904410,3668187,428727008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,7.97,11.38
SCHW,The Charles Schwab Corporation,USD,34.39,32.42,34.57,32.32,51.65,28.00,1.43,4.34,32.96,44269559808,14310341,15395650,1287280000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,12.88,2.67
SPGI,S&P Global Inc.,USD,241.34,233.34,241.70,230.11,312.94,186.06,7.01,2.99,234.33,58148220928,1602397,2876037,240939008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,28.06,8.60
TFC,Truist Financial Corporation,USD,28.48,28.29,29.61,27.63,56.92,24.01,0.01,0.04,28.47,38305599488,7789106,10093237,1344999936,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,N/A,N/A
AON,Aon plc,USD,157.26,152.35,159.57,152.00,238.19,143.93,3.58,2.33,153.68,36376125440,1499700,2262562,231312000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,24.70,6.37
ICE,"Intercontinental Exchange, Inc.",USD,81.14,79.00,81.39,77.17,101.93,63.51,1.83,2.31,79.31,44557053952,2722899,4698950,549137984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,23.73,3.42
MCO,Moody's Corporation,USD,206.72,195.40,206.97,192.00,287.25,164.19,9.17,4.64,197.55,38699638784,1004151,1451100,187208000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,27.86,7.42
MMC,"Marsh & McLennan Companies, Inc.",USD,82.75,83.69,84.22,81.10,119.88,74.33,0.73,0.89,82.02,41697558528,2399633,3569550,503897984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,24.27,3.41
PGR,The Progressive Corporation,USD,76.56,71.36,77.54,71.74,84.96,62.18,4.20,5.80,72.36,44810412032,3704559,4788012,585297984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,11.39,6.72
AIG,"American International Group, Inc.",USD,21.25,21.11,22.83,21.08,58.66,16.07,-0.36,-1.67,21.61,18302412800,9288064,10573912,861289984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,5.68,3.74
ALL,The Allstate Corporation,USD,85.79,86.27,89.73,84.04,125.92,64.13,-0.61,-0.71,86.40,27188051968,2414199,3013562,318791008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,6.11,14.03
BK,The Bank of New York Mellon Corporation,USD,33.64,32.40,33.95,32.07,53.61,26.40,0.94,2.87,32.70,29773115392,5338201,7880625,885051008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,7.46,4.51
COF,Capital One Financial Corporation,USD,43.93,43.75,45.86,43.08,107.59,38.00,-0.75,-1.68,44.68,20081414144,5369061,5579587,465720992,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,3.98,11.05
MET,"MetLife, Inc.",USD,28.05,27.48,28.98,27.44,53.28,22.85,0.15,0.54,27.90,25688973312,7066237,9715900,915299968,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-04-02 16:02:00,1585861320.0,4.63,6.06
