Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,146.10,145.29,149.57,145.00,4689124
2020-03-31,1585630800.0,158.13,154.59,161.10,153.72,3589699
2020-03-30,1585544400.0,158.52,159.62,160.43,153.18,4152809
2020-03-27,1585285200.0,159.08,158.34,163.73,157.00,4186742
2020-03-26,1585198800.0,156.37,165.79,167.66,154.31,6790307
2020-03-25,1585112400.0,154.60,155.13,162.21,145.32,8587796
2020-03-24,1585026000.0,144.32,153.60,153.90,143.63,6647422
2020-03-23,1584939600.0,136.03,134.97,141.94,133.26,5472629
2020-03-20,1584680400.0,148.99,138.41,149.19,138.29,7561254
2020-03-19,1584594000.0,137.38,149.49,152.49,130.85,6548186
2020-03-18,1584507600.0,150.00,140.02,155.97,135.41,9543242
2020-03-17,1584421200.0,157.00,158.67,166.74,150.00,6876285
2020-03-16,1584334800.0,150.23,154.66,169.54,150.00,6888003
2020-03-13,1584075600.0,162.82,177.17,177.56,152.35,6368355
2020-03-12,1583989200.0,160.00,150.68,166.75,150.00,8357743
2020-03-11,1583902800.0,178.48,171.89,180.77,170.97,5316998
2020-03-10,1583816400.0,181.62,184.35,185.40,173.29,6803867
2020-03-09,1583730000.0,173.58,172.81,179.25,170.16,6443000
2020-03-06,1583470800.0,190.68,192.85,196.30,189.28,5071909
2020-03-05,1583384400.0,201.33,198.79,203.47,196.95,4151707
2020-03-04,1583298000.0,205.84,208.74,208.92,202.70,3520352
2020-03-03,1583211600.0,209.00,203.43,211.79,202.12,5677200
2020-03-02,1583125200.0,201.41,209.47,209.62,197.63,5285526
2020-02-28,1582866000.0,199.09,200.77,202.25,194.85,6740665
2020-02-27,1582779600.0,210.49,205.69,213.48,205.37,5848188
2020-02-26,1582693200.0,218.70,215.78,220.00,214.76,4172156
2020-02-25,1582606800.0,224.78,217.61,225.87,215.89,5343512
2020-02-24,1582520400.0,223.23,224.54,226.69,222.54,4139814
2020-02-21,1582261200.0,230.91,230.62,231.80,228.37,3082273
2020-02-20,1582174800.0,236.41,232.73,236.90,231.25,3183748
2020-02-19,1582088400.0,235.00,237.33,237.80,233.28,2207061
2020-02-18,1582002000.0,236.55,233.21,237.07,231.20,2737383
2020-02-14,1581656400.0,237.94,237.08,239.01,236.23,1718742
2020-02-13,1581570000.0,237.85,238.35,238.97,236.57,1461372
2020-02-12,1581483600.0,238.01,238.65,241.18,237.72,2119549
2020-02-11,1581397200.0,239.00,236.46,239.55,236.22,2238902
2020-02-10,1581310800.0,237.40,237.36,237.87,235.46,2591280
2020-02-07,1581051600.0,239.75,238.00,240.52,236.55,3006894
2020-02-06,1580965200.0,245.35,241.82,245.77,241.18,2225886
2020-02-05,1580878800.0,244.99,244.30,245.13,243.00,3126622
2020-02-04,1580792400.0,242.88,241.94,243.74,241.55,3052654
2020-02-03,1580706000.0,238.36,239.01,242.39,238.05,2733171
2020-01-31,1580446800.0,241.99,237.75,242.89,236.88,3482838
2020-01-30,1580360400.0,237.69,244.13,244.34,236.73,3261733
2020-01-29,1580274000.0,244.52,240.12,246.50,239.57,3713664
2020-01-28,1580187600.0,239.49,242.58,243.58,238.05,3123389
2020-01-27,1580101200.0,236.37,238.14,238.99,235.01,2506445
2020-01-24,1579842000.0,245.07,241.92,245.71,240.60,2877351
2020-01-23,1579755600.0,244.50,245.58,247.00,242.88,2806820
2020-01-22,1579669200.0,246.61,247.05,248.52,246.34,2031016
2020-01-21,1579582800.0,247.21,245.70,248.85,245.60,2492363
2020-01-17,1579237200.0,250.23,249.46,250.46,248.00,3108371
2020-01-16,1579150800.0,247.01,249.72,249.82,246.23,3968405
2020-01-15,1579064400.0,242.00,245.21,249.50,239.16,5411198
2020-01-14,1578978000.0,245.32,245.66,248.52,244.60,4309141
2020-01-13,1578891600.0,244.44,245.21,246.11,243.00,3321364
2020-01-10,1578632400.0,242.75,242.11,243.39,241.39,2249212
2020-01-09,1578546000.0,241.34,242.60,243.40,239.82,3982130
2020-01-08,1578459600.0,235.68,237.76,239.75,235.48,3564884
2020-01-07,1578373200.0,235.00,235.49,237.77,234.76,5393171
2020-01-06,1578286800.0,229.93,233.95,234.02,229.49,3329354
2020-01-03,1578027600.0,231.60,231.58,232.61,230.30,2276089
2020-01-02,1577941200.0,231.00,234.32,234.64,230.16,3737791
2019-12-31,1577768400.0,229.71,229.93,229.97,228.67,1447336
2019-12-30,1577682000.0,231.68,229.80,231.68,229.50,1494667
2019-12-27,1577422800.0,231.81,230.66,232.21,230.47,1343887
2019-12-26,1577336400.0,230.26,231.21,232.20,229.99,1704161
2019-12-24,1577163600.0,228.98,229.91,229.95,228.37,467722
2019-12-23,1577077200.0,229.66,229.09,230.48,228.41,1671705
2019-12-20,1576818000.0,230.96,228.93,231.29,228.62,3716158
2019-12-19,1576731600.0,230.95,229.94,231.39,228.96,2420063
2019-12-18,1576645200.0,231.97,230.45,232.20,229.94,2280912
2019-12-17,1576558800.0,230.00,231.15,232.07,228.80,3590439
2019-12-16,1576472400.0,228.50,228.04,230.70,227.87,3219426
2019-12-13,1576213200.0,226.72,225.00,227.99,223.70,1908510
2019-12-12,1576126800.0,221.91,226.05,226.78,220.60,2975577
2019-12-11,1576040400.0,222.25,221.19,222.85,220.84,1778596
2019-12-10,1575954000.0,221.67,221.88,222.88,220.55,1854483
2019-12-09,1575867600.0,224.61,221.81,224.65,221.77,2149451
2019-12-06,1575608400.0,219.95,224.61,225.40,218.82,4229733
2019-12-05,1575522000.0,217.15,217.14,217.63,215.42,1329572
2019-12-04,1575435600.0,213.54,215.94,216.99,212.38,1583647
2019-12-03,1575349200.0,215.43,212.24,215.43,210.00,3279762
2019-12-02,1575262800.0,220.97,217.64,221.80,217.08,2119133
