Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,77.38,79.31,80.12,77.38,3090091
2020-03-31,1585630800.0,82.55,80.75,82.96,80.29,3815745
2020-03-30,1585544400.0,82.07,83.81,84.50,81.26,4768834
2020-03-27,1585285200.0,77.66,81.25,84.35,77.32,4639709
2020-03-26,1585198800.0,75.41,79.82,80.70,75.41,4670549
2020-03-25,1585112400.0,73.49,74.52,77.54,72.51,4553227
2020-03-24,1585026000.0,70.30,73.66,74.15,69.89,5101623
2020-03-23,1584939600.0,72.24,66.85,72.41,63.51,6813815
2020-03-20,1584680400.0,73.77,72.99,74.10,68.82,8462649
2020-03-19,1584594000.0,70.03,73.68,74.94,64.11,5503139
2020-03-18,1584507600.0,72.72,70.08,73.58,66.04,8145253
2020-03-17,1584421200.0,75.81,76.79,78.88,73.71,7108158
2020-03-16,1584334800.0,75.03,74.13,79.95,72.82,5791814
2020-03-13,1584075600.0,79.77,83.12,83.29,76.78,7338707
2020-03-12,1583989200.0,80.43,75.61,83.04,75.46,6554257
2020-03-11,1583902800.0,88.24,86.20,89.31,84.96,4539949
2020-03-10,1583816400.0,90.82,90.55,91.50,86.85,5243080
2020-03-09,1583730000.0,88.93,88.62,91.93,87.67,5790152
2020-03-06,1583470800.0,95.13,94.04,96.58,92.18,5963960
2020-03-05,1583384400.0,98.21,97.91,99.31,96.77,3752301
2020-03-04,1583298000.0,95.25,100.17,100.46,94.86,5223482
2020-03-03,1583211600.0,93.62,94.94,96.22,92.24,6139196
2020-03-02,1583125200.0,89.94,93.40,93.40,89.53,7056107
2020-02-28,1582866000.0,90.66,89.22,92.64,87.42,7204543
2020-02-27,1582779600.0,93.08,91.82,95.31,91.80,5272773
2020-02-26,1582693200.0,92.15,93.86,94.50,91.77,3923959
2020-02-25,1582606800.0,94.03,91.97,94.51,91.57,3063646
2020-02-24,1582520400.0,93.50,93.85,94.74,93.06,2559120
2020-02-21,1582261200.0,95.08,94.75,95.20,94.50,2047257
2020-02-20,1582174800.0,95.14,95.21,95.69,94.48,1880792
