Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,85.10,84.36,86.56,83.25,26992611
2020-03-31,1585630800.0,92.05,90.03,94.17,89.34,23379303
2020-03-30,1585544400.0,90.65,93.50,94.09,89.30,21656933
2020-03-27,1585285200.0,93.19,91.13,94.84,90.55,30041458
2020-03-26,1585198800.0,94.08,98.12,98.57,93.54,29840426
2020-03-25,1585112400.0,89.24,91.73,95.15,84.54,38111699
2020-03-24,1585026000.0,84.90,88.43,90.10,82.90,34363160
2020-03-23,1584939600.0,82.68,79.03,83.75,78.09,32536580
2020-03-20,1584680400.0,86.30,83.50,89.46,82.48,30150823
2020-03-19,1584594000.0,81.56,85.30,88.11,76.91,32175060
2020-03-18,1584507600.0,87.67,83.89,90.79,80.36,41525568
2020-03-17,1584421200.0,90.89,93.76,97.44,87.50,35239844
2020-03-16,1584334800.0,85.20,88.36,93.98,84.55,38589653
2020-03-13,1584075600.0,95.99,103.91,103.99,92.00,38543328
2020-03-12,1583989200.0,89.59,88.05,96.96,86.32,49725233
2020-03-11,1583902800.0,97.70,95.96,100.05,94.55,38157806
2020-03-10,1583816400.0,99.00,100.70,101.28,94.58,31102652
2020-03-09,1583730000.0,96.57,93.44,99.23,93.00,40352025
2020-03-06,1583470800.0,106.26,108.08,110.32,105.02,38159405
2020-03-05,1583384400.0,115.67,113.97,116.43,112.58,25025628
2020-03-04,1583298000.0,118.33,119.85,120.19,114.70,25795867
2020-03-03,1583211600.0,120.97,116.96,122.95,116.24,32547736
2020-03-02,1583125200.0,116.63,121.52,121.58,114.46,27355446
2020-02-28,1582866000.0,117.52,116.11,118.49,112.66,45942580
2020-02-27,1582779600.0,122.91,121.37,125.62,121.30,23005470
2020-02-26,1582693200.0,126.93,126.64,128.95,126.34,24836163
2020-02-25,1582606800.0,131.00,126.26,132.23,125.59,20797188
2020-02-24,1582520400.0,131.44,132.16,133.20,130.80,13618432
2020-02-21,1582261200.0,136.55,135.81,136.92,134.92,9772770
2020-02-20,1582174800.0,137.17,137.49,138.36,136.53,7422800
2020-02-19,1582088400.0,136.91,137.49,138.39,136.34,7071399
2020-02-18,1582002000.0,137.34,135.64,137.71,135.05,8997247
2020-02-14,1581656400.0,137.84,137.46,138.19,136.94,6627891
2020-02-13,1581570000.0,137.75,137.88,138.34,136.40,7447535
2020-02-12,1581483600.0,138.60,138.00,139.29,137.80,7957984
2020-02-11,1581397200.0,138.26,138.00,138.82,137.78,6578649
2020-02-10,1581310800.0,136.95,137.74,137.85,136.75,5960700
2020-02-07,1581051600.0,136.73,137.17,137.67,136.30,6379784
2020-02-06,1580965200.0,138.24,137.61,138.29,137.11,8992592
2020-02-05,1580878800.0,136.57,137.59,137.73,136.01,10150709
