Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,218.31,197.55,207.30,195.70,1419081
2020-03-31,1585630800.0,218.31,211.50,221.98,210.76,1379079
2020-03-30,1585544400.0,222.16,222.22,226.33,218.30,1026921
2020-03-27,1585285200.0,215.34,220.19,226.55,215.34,1305769
2020-03-26,1585198800.0,209.66,224.33,227.47,209.12,1650659
2020-03-25,1585112400.0,193.50,207.13,217.91,192.13,1686810
2020-03-24,1585026000.0,175.26,195.75,196.61,172.02,1404740
2020-03-23,1584939600.0,171.55,165.09,182.04,164.19,1699865
2020-03-20,1584680400.0,180.34,175.80,183.00,171.47,2017311
2020-03-19,1584594000.0,173.56,177.91,181.48,166.00,2610481
2020-03-18,1584507600.0,182.92,174.35,187.35,165.23,2819040
2020-03-17,1584421200.0,188.90,202.09,206.43,185.49,2046630
2020-03-16,1584334800.0,182.00,185.40,193.94,180.00,2856263
2020-03-13,1584075600.0,205.04,213.07,213.57,194.54,2329324
2020-03-12,1583989200.0,200.34,193.34,212.13,189.00,2632096
2020-03-11,1583902800.0,220.91,211.26,221.66,206.68,1612436
2020-03-10,1583816400.0,220.80,227.60,227.60,213.90,2208074
2020-03-09,1583730000.0,218.15,210.85,223.74,209.40,2551368
2020-03-06,1583470800.0,242.62,238.47,244.49,231.39,2197355
2020-03-05,1583384400.0,260.26,252.61,264.72,248.78,1557428
2020-03-04,1583298000.0,257.16,269.58,270.35,255.67,1221385
2020-03-03,1583211600.0,258.23,252.87,263.29,249.49,1734920
2020-03-02,1583125200.0,245.91,259.52,259.78,242.62,1526290
2020-02-28,1582866000.0,236.66,240.03,241.66,232.06,1989221
2020-02-27,1582779600.0,256.84,244.07,256.84,243.90,1993920
2020-02-26,1582693200.0,260.52,261.01,267.46,260.46,951250
2020-02-25,1582606800.0,268.00,260.03,269.45,258.71,1090669
2020-02-24,1582520400.0,264.30,266.26,268.65,263.60,990013
2020-02-21,1582261200.0,276.83,271.83,276.83,269.11,961462
