Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,31.33,27.90,29.02,27.64,5230021
2020-03-31,1585630800.0,31.33,30.57,31.95,30.43,8939698
2020-03-30,1585544400.0,30.72,32.03,32.30,30.25,6287411
2020-03-27,1585285200.0,30.73,30.87,32.17,30.63,7336912
2020-03-26,1585198800.0,30.14,32.53,32.74,29.58,11543744
2020-03-25,1585112400.0,28.34,29.74,32.46,27.83,13540382
2020-03-24,1585026000.0,24.99,27.61,27.93,24.53,12986025
2020-03-23,1584939600.0,24.02,23.53,24.52,22.85,11715323
2020-03-20,1584680400.0,27.45,24.38,27.45,24.16,16243577
2020-03-19,1584594000.0,27.50,26.80,28.57,25.99,9083847
2020-03-18,1584507600.0,25.96,28.18,28.27,25.58,12074697
2020-03-17,1584421200.0,27.71,28.43,28.44,25.64,9725934
2020-03-16,1584334800.0,26.87,26.80,28.81,26.00,8989731
2020-03-13,1584075600.0,30.98,31.93,32.03,29.05,13500965
2020-03-12,1583989200.0,30.12,28.30,30.99,28.12,13658740
2020-03-11,1583902800.0,33.63,33.30,34.21,32.64,11010325
2020-03-10,1583816400.0,34.51,35.02,35.03,32.52,12698592
2020-03-09,1583730000.0,35.42,32.66,36.64,31.90,14632669
2020-03-06,1583470800.0,38.78,39.18,40.28,38.33,10764713
2020-03-05,1583384400.0,42.10,40.62,42.25,40.01,11269431
2020-03-04,1583298000.0,43.40,43.83,43.98,42.42,7751069
2020-03-03,1583211600.0,44.39,42.57,44.98,42.22,11119965
2020-03-02,1583125200.0,42.93,44.56,44.58,42.71,13068678
2020-02-28,1582866000.0,42.11,42.72,42.97,41.47,13640163
2020-02-27,1582779600.0,45.78,43.89,45.95,43.80,13487486
2020-02-26,1582693200.0,47.96,46.92,48.30,46.73,9898466
2020-02-25,1582606800.0,49.45,47.58,49.51,47.28,10896814
2020-02-24,1582520400.0,49.29,49.38,49.66,48.80,8697010
2020-02-21,1582261200.0,51.98,51.23,52.06,50.96,5307986
2020-02-20,1582174800.0,51.84,52.28,52.35,51.67,3686860
2020-02-19,1582088400.0,52.01,51.79,52.16,51.71,5528685
2020-02-18,1582002000.0,52.03,51.83,52.49,51.40,4554785
2020-02-14,1581656400.0,52.44,52.28,52.47,51.87,3469702
2020-02-13,1581570000.0,52.32,52.38,52.52,51.94,3762321
2020-02-12,1581483600.0,52.71,52.47,53.28,52.45,4999155
2020-02-11,1581397200.0,52.19,52.39,53.05,52.04,5972719
2020-02-10,1581310800.0,51.40,51.88,51.92,51.40,4513811
2020-02-07,1581051600.0,51.52,51.58,51.70,51.08,6698541
2020-02-06,1580965200.0,51.83,51.87,52.09,51.25,6538219
2020-02-05,1580878800.0,51.16,51.53,51.74,50.97,7647186
2020-02-04,1580792400.0,50.53,50.20,50.77,50.18,4774691
2020-02-03,1580706000.0,49.75,49.69,50.30,49.68,5276759
2020-01-31,1580446800.0,50.63,49.71,50.66,49.49,9443175
2020-01-30,1580360400.0,50.00,51.28,51.29,49.92,4584034
2020-01-29,1580274000.0,50.78,50.49,51.02,50.46,3877467
2020-01-28,1580187600.0,50.35,50.55,50.96,50.20,4091059
2020-01-27,1580101200.0,50.09,50.09,50.41,49.92,6493994
2020-01-24,1579842000.0,51.90,51.27,51.90,50.70,3943555
2020-01-23,1579755600.0,51.67,51.80,51.96,51.01,4264479
2020-01-22,1579669200.0,52.00,51.90,52.13,51.67,3530651
2020-01-21,1579582800.0,52.19,51.76,52.34,51.69,4656468
2020-01-17,1579237200.0,52.34,52.61,52.66,52.19,6101680
2020-01-16,1579150800.0,52.23,52.20,52.41,51.91,5389454
2020-01-15,1579064400.0,52.02,51.85,52.31,51.75,4542351
2020-01-14,1578978000.0,52.40,52.19,52.57,52.02,6612162
2020-01-13,1578891600.0,52.62,52.58,52.76,52.33,6924916
2020-01-10,1578632400.0,52.40,52.47,52.60,52.15,5526944
2020-01-09,1578546000.0,52.18,52.37,52.73,52.13,5793876
2020-01-08,1578459600.0,51.47,51.83,52.57,51.44,9880467
2020-01-07,1578373200.0,51.01,51.29,51.62,50.74,6578781
2020-01-06,1578286800.0,50.63,50.95,51.03,50.32,3271654
2020-01-03,1578027600.0,50.99,51.09,51.16,50.60,5162268
2020-01-02,1577941200.0,51.28,51.62,51.69,51.06,4416788
2019-12-31,1577768400.0,50.73,50.97,51.00,50.51,4721794
2019-12-30,1577682000.0,51.14,50.70,51.14,50.65,3149960
2019-12-27,1577422800.0,51.34,50.83,51.34,50.80,2578238
2019-12-26,1577336400.0,51.06,51.24,51.40,51.01,2281338
2019-12-24,1577163600.0,51.09,50.99,51.24,50.87,1913333
2019-12-23,1577077200.0,51.49,50.99,51.60,50.68,4229292
2019-12-20,1576818000.0,51.33,51.36,51.48,50.96,10779419
2019-12-19,1576731600.0,51.14,50.80,51.15,50.63,6058448
2019-12-18,1576645200.0,51.28,51.13,51.37,51.09,4309733
2019-12-17,1576558800.0,50.48,51.17,51.21,50.34,6982643
2019-12-16,1576472400.0,50.93,50.48,51.08,50.41,8987628
2019-12-13,1576213200.0,50.68,50.38,50.96,49.98,5355481
2019-12-12,1576126800.0,49.14,50.54,50.74,49.06,12137320
2019-12-11,1576040400.0,49.38,49.09,49.55,48.90,5717598
2019-12-10,1575954000.0,49.32,49.29,49.49,49.15,3942928
2019-12-09,1575867600.0,49.23,49.57,49.68,49.21,3603443
2019-12-06,1575608400.0,49.55,49.50,49.78,49.25,4009799
2019-12-05,1575522000.0,48.93,48.93,49.09,48.61,3626587
2019-12-04,1575435600.0,48.59,48.66,49.24,48.48,6124186
2019-12-03,1575349200.0,48.80,48.35,48.86,47.99,6304115
2019-12-02,1575262800.0,50.17,49.35,50.24,49.32,3524556
2019-11-29,1575003600.0,49.74,49.91,49.99,49.62,1681176
2019-11-27,1574830800.0,50.05,49.91,50.14,49.66,3919438
2019-11-26,1574744400.0,49.81,49.77,49.93,49.44,4109991
2019-11-25,1574658000.0,49.75,49.95,50.05,49.61,5059471
2019-11-22,1574398800.0,49.06,49.60,49.67,48.93,5399583
2019-11-21,1574312400.0,49.13,48.97,49.13,48.60,3585625
2019-11-20,1574226000.0,48.94,48.94,49.01,48.34,4234827
2019-11-19,1574139600.0,49.27,49.15,49.54,49.11,4000611
2019-11-18,1574053200.0,49.07,49.12,49.19,48.77,3678961
2019-11-15,1573794000.0,49.61,49.27,49.73,49.17,3298121
2019-11-14,1573707600.0,49.15,49.30,49.47,48.96,3034809
2019-11-13,1573621200.0,49.12,49.26,49.41,48.93,4065224
2019-11-12,1573534800.0,49.31,49.58,49.87,49.18,4672456
2019-11-11,1573448400.0,48.82,49.22,49.48,48.81,4322653
2019-11-08,1573189200.0,49.10,49.32,49.34,48.49,6446189
2019-11-07,1573102800.0,49.07,49.04,49.61,48.93,5999884
2019-11-06,1573016400.0,48.36,48.60,48.72,48.04,5150310
2019-11-05,1572930000.0,47.75,48.38,48.57,47.59,6157778
2019-11-04,1572843600.0,47.21,47.59,47.71,47.18,6564319
2019-11-01,1572584400.0,47.01,47.26,47.44,46.77,5733632
2019-10-31,1572498000.0,45.99,46.79,46.95,45.33,7023124
2019-10-30,1572411600.0,46.63,46.29,46.71,45.83,5272780
2019-10-29,1572325200.0,46.62,46.68,47.05,46.44,3743105
2019-10-28,1572238800.0,46.54,46.81,47.14,46.54,4108609
2019-10-25,1571979600.0,46.02,46.32,46.51,46.02,2163230
2019-10-24,1571893200.0,46.61,46.28,46.93,45.93,3248389
2019-10-23,1571806800.0,46.44,46.55,46.61,46.23,3069625
2019-10-22,1571720400.0,46.45,46.51,46.66,46.11,3450639
2019-10-21,1571634000.0,46.55,46.54,46.76,46.40,4383626
2019-10-18,1571374800.0,45.98,46.10,46.25,45.90,5058081
2019-10-17,1571288400.0,46.32,45.90,46.46,45.73,4234878
2019-10-16,1571202000.0,46.11,45.96,46.63,45.89,4348594
2019-10-15,1571115600.0,45.97,46.19,46.59,45.83,3210171
2019-10-14,1571029200.0,45.43,45.75,45.85,45.37,2142173
2019-10-11,1570770000.0,45.92,45.84,46.61,45.73,5303740
2019-10-10,1570683600.0,44.77,44.96,45.37,44.54,3936123
2019-10-09,1570597200.0,44.19,44.37,44.61,44.07,4314348
2019-10-08,1570510800.0,44.34,43.83,44.38,43.82,5651752
2019-10-07,1570424400.0,45.41,44.95,45.41,44.94,3432666
2019-10-04,1570165200.0,44.58,45.41,45.49,44.41,4322011
2019-10-03,1570078800.0,44.23,44.56,44.60,43.67,6731753
2019-10-02,1569992400.0,45.53,44.39,45.70,44.31,8144441
2019-10-01,1569906000.0,47.57,46.03,47.66,46.02,4093815
2019-09-30,1569819600.0,47.54,47.16,47.62,46.96,4618874
2019-09-27,1569560400.0,47.58,47.36,47.67,47.12,4254981
2019-09-26,1569474000.0,47.37,47.08,47.42,46.80,5320747
2019-09-25,1569387600.0,47.33,47.37,47.71,47.21,4183021
2019-09-24,1569301200.0,47.87,47.33,47.95,47.06,8474393
2019-09-23,1569214800.0,46.92,47.73,47.92,46.91,7020355
2019-09-20,1568955600.0,48.02,47.44,48.02,47.23,32039203
2019-09-19,1568869200.0,47.77,47.86,48.42,47.62,4420734
2019-09-18,1568782800.0,47.19,47.85,47.97,46.99,6546754
2019-09-17,1568696400.0,47.07,47.43,47.49,46.92,6990380
2019-09-16,1568610000.0,47.92,47.55,47.98,47.22,7593764
2019-09-13,1568350800.0,48.40,48.37,48.87,48.06,7463897
2019-09-12,1568264400.0,47.46,47.87,48.13,46.77,6016311
2019-09-11,1568178000.0,47.50,47.97,47.99,46.71,6424431
2019-09-10,1568091600.0,46.69,47.42,47.42,46.39,8077197
