Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,31.68,31.62,32.41,31.16,23392442
2020-03-31,1585630800.0,34.53,34.00,35.29,33.72,17122553
2020-03-30,1585544400.0,33.53,34.84,35.34,32.97,18046780
2020-03-27,1585285200.0,33.64,34.01,34.73,33.12,33375420
2020-03-26,1585198800.0,33.80,35.71,36.85,33.33,26425797
2020-03-25,1585112400.0,33.90,33.99,35.48,32.25,27198494
2020-03-24,1585026000.0,30.09,33.22,33.38,29.40,25905496
2020-03-23,1584939600.0,29.15,27.81,29.79,27.76,26400955
2020-03-20,1584680400.0,31.25,29.67,31.45,29.19,27472498
2020-03-19,1584594000.0,30.35,30.92,32.90,28.74,23929644
2020-03-18,1584507600.0,31.34,30.75,32.84,27.20,27603006
2020-03-17,1584421200.0,32.37,33.79,35.12,30.11,27047360
2020-03-16,1584334800.0,31.07,31.65,35.27,30.36,26789927
2020-03-13,1584075600.0,34.27,37.50,37.52,33.07,33305139
2020-03-12,1583989200.0,33.91,31.31,34.91,31.21,27964640
2020-03-11,1583902800.0,38.23,36.87,38.86,36.44,27383553
2020-03-10,1583816400.0,39.81,39.50,39.99,37.05,27110969
2020-03-09,1583730000.0,36.85,37.50,39.02,36.85,28177463
2020-03-06,1583470800.0,40.51,41.84,42.24,40.34,30898354
2020-03-05,1583384400.0,43.51,42.59,43.94,42.14,23950190
2020-03-04,1583298000.0,45.16,45.24,45.32,44.21,21938107
2020-03-03,1583211600.0,46.37,44.40,46.92,43.86,30206617
2020-03-02,1583125200.0,45.11,46.48,46.48,44.40,23234145
2020-02-28,1582866000.0,43.87,45.03,45.55,43.69,36983543
2020-02-27,1582779600.0,45.74,45.41,47.21,45.16,26815173
2020-02-26,1582693200.0,48.22,47.24,48.55,46.89,22286787
2020-02-25,1582606800.0,49.98,48.03,50.15,47.56,25568358
2020-02-24,1582520400.0,50.31,49.68,50.49,49.21,28670358
2020-02-21,1582261200.0,53.50,52.42,53.59,52.09,29541326
2020-02-20,1582174800.0,54.00,53.75,55.51,53.59,58533497
2020-02-19,1582088400.0,55.86,56.31,56.43,55.49,6075295
2020-02-18,1582002000.0,55.80,55.52,55.96,54.94,6898811
2020-02-14,1581656400.0,55.90,55.84,56.12,55.54,4579308
2020-02-13,1581570000.0,55.80,55.93,55.99,55.50,5718394
2020-02-12,1581483600.0,56.22,56.18,56.66,56.11,7130011
2020-02-11,1581397200.0,55.74,55.78,56.25,55.69,7120808
2020-02-10,1581310800.0,54.68,55.35,55.36,54.62,5115052
2020-02-07,1581051600.0,54.61,55.03,55.11,54.42,7587971
2020-02-06,1580965200.0,55.43,55.01,55.49,54.61,6976882
2020-02-05,1580878800.0,54.86,54.99,55.15,54.38,8237518
2020-02-04,1580792400.0,53.75,54.02,54.60,53.73,9375133
2020-02-03,1580706000.0,52.64,52.60,53.59,52.58,8375623
2020-01-31,1580446800.0,53.20,52.26,53.28,51.89,11286887
2020-01-30,1580360400.0,52.61,53.82,53.86,52.40,8685860
2020-01-29,1580274000.0,54.48,53.68,54.55,53.68,9027852
2020-01-28,1580187600.0,53.80,54.02,54.44,53.38,9232924
2020-01-27,1580101200.0,53.00,53.11,53.69,52.86,10649107
2020-01-24,1579842000.0,55.53,54.55,55.61,54.10,9752123
2020-01-23,1579755600.0,55.22,55.53,55.65,54.80,10064905
2020-01-22,1579669200.0,56.18,55.86,56.51,55.85,10276830
2020-01-21,1579582800.0,55.88,55.92,56.48,55.18,20833888
2020-01-17,1579237200.0,56.26,57.51,57.57,56.18,15403886
2020-01-16,1579150800.0,56.05,56.44,57.36,55.65,34590664
2020-01-15,1579064400.0,52.48,52.94,52.94,52.11,11342486
2020-01-14,1578978000.0,53.06,52.86,53.25,52.68,9605014
2020-01-13,1578891600.0,52.21,52.78,52.78,52.07,8335362
2020-01-10,1578632400.0,52.15,52.21,52.47,51.92,7690485
2020-01-09,1578546000.0,52.17,52.06,52.25,51.82,7310275
2020-01-08,1578459600.0,50.96,51.57,51.79,50.90,6185249
2020-01-07,1578373200.0,51.04,50.92,51.19,50.71,4572114
2020-01-06,1578286800.0,50.67,51.02,51.04,50.46,7478540
2020-01-03,1578027600.0,51.22,51.20,51.45,50.83,6706712
2020-01-02,1577941200.0,51.20,52.04,52.06,51.17,7440294
2019-12-31,1577768400.0,50.96,51.12,51.13,50.74,5132637
2019-12-30,1577682000.0,51.36,50.96,51.38,50.92,4532760
2019-12-27,1577422800.0,51.33,51.09,51.33,50.93,4117109
2019-12-26,1577336400.0,50.97,51.11,51.29,50.86,5517449
2019-12-24,1577163600.0,50.83,50.69,50.93,50.57,2087767
2019-12-23,1577077200.0,50.91,50.72,51.10,50.71,6547641
2019-12-20,1576818000.0,51.44,50.69,51.44,50.66,18743335
2019-12-19,1576731600.0,50.65,50.86,51.00,50.55,9222000
2019-12-18,1576645200.0,51.00,50.66,51.12,50.64,9513060
2019-12-17,1576558800.0,50.82,50.90,51.22,50.77,10447045
2019-12-16,1576472400.0,50.77,50.72,51.12,50.60,11007602
2019-12-13,1576213200.0,50.74,50.24,51.15,50.14,10191244
2019-12-12,1576126800.0,49.65,50.69,50.87,49.47,11553705
2019-12-11,1576040400.0,49.66,49.45,49.79,49.42,6296326
2019-12-10,1575954000.0,49.53,49.67,49.93,49.27,10009607
2019-12-09,1575867600.0,49.53,49.60,49.90,49.43,6409856
2019-12-06,1575608400.0,49.84,49.80,50.24,49.73,9487810
2019-12-05,1575522000.0,49.14,49.07,49.26,48.95,6680673
2019-12-04,1575435600.0,48.36,48.84,49.09,48.17,8608998
2019-12-03,1575349200.0,48.41,48.11,48.44,47.44,12608613
2019-12-02,1575262800.0,49.58,49.08,49.96,49.06,8117599
2019-11-29,1575003600.0,49.70,49.48,49.72,49.37,4138428
2019-11-27,1574830800.0,49.63,49.78,49.87,49.50,8614071
2019-11-26,1574744400.0,49.92,49.41,49.93,49.07,10369313
2019-11-25,1574658000.0,49.35,49.96,49.98,49.32,8463572
2019-11-22,1574398800.0,48.94,49.25,49.26,48.82,6609776
2019-11-21,1574312400.0,49.25,48.84,49.34,48.73,8353623
2019-11-20,1574226000.0,48.96,49.10,49.11,48.39,9138743
2019-11-19,1574139600.0,49.22,49.33,49.60,49.21,6980321
2019-11-18,1574053200.0,48.84,49.03,49.09,48.56,6447878
2019-11-15,1573794000.0,48.87,48.99,49.16,48.72,6439116
2019-11-14,1573707600.0,48.32,48.61,48.72,48.21,5836618
2019-11-13,1573621200.0,48.52,48.39,48.58,48.19,7093249
2019-11-12,1573534800.0,49.07,49.01,49.21,48.77,6400983
2019-11-11,1573448400.0,48.86,49.09,49.39,48.71,7107518
2019-11-08,1573189200.0,48.64,49.15,49.15,48.29,7966635
2019-11-07,1573102800.0,49.12,48.66,49.58,48.57,14501500
2019-11-06,1573016400.0,48.74,48.56,48.80,48.24,7872371
2019-11-05,1572930000.0,48.97,48.75,49.89,48.68,13894126
2019-11-04,1572843600.0,47.99,48.83,49.00,47.88,15965869
2019-11-01,1572584400.0,46.52,47.33,47.40,46.46,9765948
2019-10-31,1572498000.0,45.95,46.05,46.26,45.33,9414106
2019-10-30,1572411600.0,46.26,46.26,46.29,45.83,7101420
2019-10-29,1572325200.0,46.53,46.83,46.93,46.53,7773625
2019-10-28,1572238800.0,46.49,46.84,47.16,46.47,10276046
2019-10-25,1571979600.0,45.70,46.37,46.46,45.61,9576369
2019-10-24,1571893200.0,46.00,45.76,46.13,45.51,7493880
2019-10-23,1571806800.0,45.13,45.91,45.93,45.10,8441685
2019-10-22,1571720400.0,44.85,45.38,45.62,44.57,12488325
2019-10-21,1571634000.0,44.08,44.98,45.09,44.08,14384851
2019-10-18,1571374800.0,43.53,43.66,43.86,43.23,10494743
2019-10-17,1571288400.0,44.37,43.44,44.50,43.44,18020935
2019-10-16,1571202000.0,42.59,42.79,43.15,42.45,10157239
2019-10-15,1571115600.0,42.39,42.53,42.92,41.91,10293487
2019-10-14,1571029200.0,41.77,42.25,42.31,41.68,6717592
2019-10-11,1570770000.0,42.00,41.93,42.59,41.90,14990407
2019-10-10,1570683600.0,40.86,41.05,41.41,40.75,8337146
2019-10-09,1570597200.0,40.19,40.44,40.65,40.03,8999811
2019-10-08,1570510800.0,40.05,39.82,40.20,39.69,8453598
2019-10-07,1570424400.0,40.60,40.68,41.11,40.55,6394719
2019-10-04,1570165200.0,40.34,40.78,40.82,40.18,6085180
2019-10-03,1570078800.0,40.05,40.25,40.30,39.30,12221742
2019-10-02,1569992400.0,41.04,40.23,41.09,40.09,12145026
2019-10-01,1569906000.0,42.51,41.38,42.65,41.25,13583305
2019-09-30,1569819600.0,43.07,42.67,43.20,42.58,6245321
2019-09-27,1569560400.0,42.96,42.84,43.18,42.50,8005192
2019-09-26,1569474000.0,42.96,42.62,43.01,42.58,5381131
2019-09-25,1569387600.0,42.35,43.04,43.16,42.35,6943261
2019-09-24,1569301200.0,43.77,42.54,43.77,42.37,11367248
2019-09-23,1569214800.0,43.27,43.56,43.78,42.94,7357132
2019-09-20,1568955600.0,44.22,43.67,44.60,43.63,22497623
2019-09-19,1568869200.0,44.21,44.02,44.47,43.91,6483567
2019-09-18,1568782800.0,43.91,44.36,44.49,43.65,8327576
2019-09-17,1568696400.0,44.50,44.21,44.50,43.55,9843665
2019-09-16,1568610000.0,44.49,44.75,45.05,44.35,6289751
2019-09-13,1568350800.0,44.95,45.16,45.45,44.73,11364491
2019-09-12,1568264400.0,43.51,44.32,44.44,43.38,13254316
2019-09-11,1568178000.0,43.74,43.94,43.94,43.21,9877893
2019-09-10,1568091600.0,43.28,43.58,43.81,43.06,12292914
2019-09-09,1568005200.0,42.54,43.11,43.49,42.54,11888753
2019-09-06,1567746000.0,42.47,42.18,42.55,42.01,7012752
2019-09-05,1567659600.0,42.30,42.47,43.11,42.30,8104020
2019-09-04,1567573200.0,41.44,41.53,41.69,41.30,6843792
2019-09-03,1567486800.0,41.04,40.99,41.09,40.35,8675908
2019-08-30,1567141200.0,41.68,41.49,41.87,41.30,7426965
2019-08-29,1567054800.0,40.89,41.29,41.50,40.87,12191901
2019-08-28,1566968400.0,39.40,40.38,40.70,39.35,9881886
2019-08-27,1566882000.0,40.25,39.79,40.34,39.45,8745299
2019-08-26,1566795600.0,39.84,40.16,40.27,39.70,10409414
2019-08-23,1566536400.0,40.05,39.33,40.40,39.11,12310842
2019-08-22,1566450000.0,40.36,40.27,40.42,39.92,8126381
2019-08-21,1566363600.0,40.48,39.94,40.53,39.83,9878357
2019-08-20,1566277200.0,40.04,39.90,40.29,39.83,11352657
2019-08-19,1566190800.0,40.74,40.37,40.83,40.23,7803131
2019-08-16,1565931600.0,39.53,39.94,40.19,39.42,9742767
2019-08-15,1565845200.0,39.43,39.10,39.59,38.76,10818552
2019-08-14,1565758800.0,39.57,39.33,39.57,38.84,17133401
2019-08-13,1565672400.0,40.39,40.69,41.33,40.08,10942303
2019-08-12,1565586000.0,40.77,40.36,40.90,40.16,8594313
2019-08-09,1565326800.0,40.99,41.50,41.82,40.65,11011436
2019-08-08,1565240400.0,41.01,41.27,41.46,40.64,9884353
2019-08-07,1565154000.0,40.27,40.56,40.66,39.47,14108530
2019-08-06,1565067600.0,40.95,41.22,41.33,40.47,10481193
2019-08-05,1564981200.0,40.93,40.49,41.00,39.94,15311134
2019-08-02,1564722000.0,42.73,42.12,42.75,41.24,16089937
2019-08-01,1564635600.0,44.42,42.93,44.74,42.69,12963863
2019-07-31,1564549200.0,44.70,44.56,44.99,44.28,8317093
2019-07-30,1564462800.0,44.61,44.67,44.85,44.17,7339121
2019-07-29,1564376400.0,45.64,45.23,45.73,45.07,8666967
2019-07-26,1564117200.0,44.99,45.74,45.77,44.91,8320981
2019-07-25,1564030800.0,45.50,44.87,45.57,44.60,8733840
2019-07-24,1563944400.0,44.89,45.50,45.71,44.86,8092568
2019-07-23,1563858000.0,44.77,45.10,45.29,44.77,9859575
2019-07-22,1563771600.0,44.22,44.50,44.60,43.94,7091856
2019-07-19,1563512400.0,44.35,44.39,44.71,44.33,10083648
2019-07-18,1563426000.0,43.67,44.43,44.52,43.51,11187450
2019-07-17,1563339600.0,44.26,43.77,44.32,43.66,9131788
2019-07-16,1563253200.0,44.80,44.43,45.06,44.27,10171236
