Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,90.00,87.35,90.76,86.52,4024819
2020-03-31,1585630800.0,98.73,95.72,100.54,94.24,3563801
2020-03-30,1585544400.0,99.27,100.97,101.68,97.82,2707409
2020-03-27,1585285200.0,97.48,100.13,103.29,96.98,2535559
2020-03-26,1585198800.0,92.58,102.92,103.73,92.05,3736695
2020-03-25,1585112400.0,91.52,92.05,97.17,86.90,3793113
2020-03-24,1585026000.0,86.55,90.18,90.99,84.66,5137316
2020-03-23,1584939600.0,86.35,80.64,88.44,79.41,3848297
2020-03-20,1584680400.0,94.08,89.49,95.37,86.60,3939893
2020-03-19,1584594000.0,85.43,92.42,96.50,84.57,3370805
2020-03-18,1584507600.0,88.78,87.53,91.19,81.03,5107585
2020-03-17,1584421200.0,91.30,96.00,96.19,87.54,4487231
2020-03-16,1584334800.0,91.18,89.97,103.29,89.26,5318354
2020-03-13,1584075600.0,103.31,106.98,107.18,99.46,6420111
2020-03-12,1583989200.0,93.48,94.72,104.00,90.89,5347720
2020-03-11,1583902800.0,104.29,101.94,106.08,100.13,5605566
2020-03-10,1583816400.0,104.05,108.04,108.98,100.30,4757122
2020-03-09,1583730000.0,102.60,98.75,107.21,97.55,4702274
2020-03-06,1583470800.0,115.38,114.23,118.49,112.12,3703980
2020-03-05,1583384400.0,124.66,120.69,124.81,118.45,3561536
2020-03-04,1583298000.0,127.16,129.40,129.61,124.61,2598630
2020-03-03,1583211600.0,132.00,125.49,133.64,124.05,3545500
2020-03-02,1583125200.0,126.82,132.64,132.76,124.65,2965206
2020-02-28,1582866000.0,126.31,126.40,127.95,122.55,4900446
2020-02-27,1582779600.0,136.01,130.62,136.81,130.53,3669168
2020-02-26,1582693200.0,142.55,138.71,143.08,138.68,2734837
2020-02-25,1582606800.0,148.90,141.34,149.34,141.01,2827986
2020-02-24,1582520400.0,149.31,148.81,150.22,148.08,2234698
2020-02-21,1582261200.0,153.60,153.80,154.07,151.78,1547548
2020-02-20,1582174800.0,152.75,154.48,154.94,152.27,1426397
2020-02-19,1582088400.0,152.15,153.35,153.90,151.89,1317613
2020-02-18,1582002000.0,153.49,151.39,154.13,150.00,2121901
2020-02-14,1581656400.0,155.16,154.13,155.44,153.18,1832369
2020-02-13,1581570000.0,154.76,155.32,155.55,154.13,1388011
2020-02-12,1581483600.0,156.00,155.21,156.92,154.84,956180
2020-02-11,1581397200.0,154.34,154.79,155.69,154.19,1224393
2020-02-10,1581310800.0,152.49,153.86,153.86,152.31,1206488
2020-02-07,1581051600.0,151.82,153.35,153.64,151.38,1547163
2020-02-06,1580965200.0,154.82,152.85,154.95,152.68,1484322
2020-02-05,1580878800.0,152.52,153.79,153.85,152.30,1451879
2020-02-04,1580792400.0,151.95,150.66,152.23,150.43,1502467
2020-02-03,1580706000.0,150.04,149.54,151.15,149.26,1969404
2020-01-31,1580446800.0,149.27,148.55,150.69,148.24,2808410
2020-01-30,1580360400.0,147.13,150.96,151.10,147.13,2277498
2020-01-29,1580274000.0,149.91,148.59,150.76,148.33,1091882
2020-01-28,1580187600.0,149.32,149.69,150.97,148.88,1636228
2020-01-27,1580101200.0,147.94,148.53,150.00,147.32,2343406
2020-01-24,1579842000.0,152.48,150.38,152.48,149.52,3152878
2020-01-23,1579755600.0,151.39,152.71,153.25,149.93,2118177
2020-01-22,1579669200.0,151.96,152.26,153.02,151.65,2637334
2020-01-21,1579582800.0,152.14,151.65,153.33,151.46,2036594
2020-01-17,1579237200.0,153.05,153.36,154.05,152.85,2515591
2020-01-16,1579150800.0,153.58,152.62,153.70,149.95,3831616
2020-01-15,1579064400.0,158.31,154.08,158.31,153.33,4078473
2020-01-14,1578978000.0,159.17,159.88,160.95,158.81,3335543
2020-01-13,1578891600.0,158.88,159.44,159.54,157.82,2391330
2020-01-10,1578632400.0,160.98,158.57,160.98,158.47,2182480
2020-01-09,1578546000.0,160.38,160.81,161.25,159.84,1651980
2020-01-08,1578459600.0,158.00,158.89,159.91,157.30,1958425
2020-01-07,1578373200.0,157.43,157.26,158.40,156.61,1936596
2020-01-06,1578286800.0,158.10,158.51,158.68,157.45,1335484
2020-01-03,1578027600.0,158.41,158.83,159.59,157.43,1374430
2020-01-02,1577941200.0,159.75,160.37,160.37,158.90,1881277
2019-12-31,1577768400.0,159.85,159.63,160.37,158.99,1499788
2019-12-30,1577682000.0,161.59,160.02,161.79,159.88,1401139
2019-12-27,1577422800.0,161.55,160.81,161.72,160.56,1051812
