Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,31.83,32.96,33.55,31.59,11700181
2020-03-31,1585630800.0,33.89,33.62,34.81,33.00,10708602
2020-03-30,1585544400.0,33.19,34.33,34.57,32.69,10078776
2020-03-27,1585285200.0,32.56,33.61,34.87,32.13,12461712
2020-03-26,1585198800.0,34.17,34.16,36.30,32.97,16976561
2020-03-25,1585112400.0,31.12,34.17,36.87,30.44,22746217
2020-03-24,1585026000.0,30.26,30.72,31.53,29.24,17925242
2020-03-23,1584939600.0,30.82,28.50,30.82,28.01,20572951
2020-03-20,1584680400.0,32.50,30.75,32.94,30.03,15922775
2020-03-19,1584594000.0,31.45,31.82,32.95,30.03,18311145
2020-03-18,1584507600.0,31.09,32.42,34.08,30.36,24241685
2020-03-17,1584421200.0,31.39,33.68,33.73,28.92,21796195
2020-03-16,1584334800.0,28.59,30.56,32.66,28.00,23373914
2020-03-13,1584075600.0,30.38,33.87,33.90,30.04,26153234
2020-03-12,1583989200.0,29.96,28.43,30.31,28.11,32521615
2020-03-11,1583902800.0,31.90,32.43,33.89,31.25,27993364
2020-03-10,1583816400.0,31.88,32.94,32.94,30.00,20293223
2020-03-09,1583730000.0,30.86,30.27,31.87,30.19,24766542
2020-03-06,1583470800.0,33.05,34.13,35.06,32.64,29385714
2020-03-05,1583384400.0,35.90,34.80,35.90,34.45,28000670
2020-03-04,1583298000.0,38.45,37.16,38.54,36.74,26339286
2020-03-03,1583211600.0,41.62,38.30,41.95,37.95,28382024
2020-03-02,1583125200.0,40.90,41.98,42.05,39.57,21834198
2020-02-28,1582866000.0,40.25,40.75,41.62,39.51,27463020
2020-02-27,1582779600.0,40.18,41.91,43.00,40.09,28185265
2020-02-26,1582693200.0,42.01,41.42,42.40,41.22,15389563
2020-02-25,1582606800.0,43.99,41.60,44.01,41.38,16466075
2020-02-24,1582520400.0,44.48,43.80,44.56,43.48,13407723
2020-02-21,1582261200.0,48.09,46.19,48.43,45.93,13502093
2020-02-20,1582174800.0,47.34,48.58,49.55,47.30,16198810
2020-02-19,1582088400.0,46.99,47.44,47.85,46.83,6377492
2020-02-18,1582002000.0,47.03,46.73,47.31,46.20,8165698
2020-02-14,1581656400.0,47.12,47.23,47.32,46.68,7106677
2020-02-13,1581570000.0,47.39,47.29,47.60,47.15,5873145
2020-02-12,1581483600.0,48.10,47.79,48.35,47.59,5136382
2020-02-11,1581397200.0,47.03,47.67,47.97,46.86,7082588
2020-02-10,1581310800.0,46.89,46.77,47.20,46.49,6061959
2020-02-07,1581051600.0,47.10,47.31,47.59,46.92,5680196
2020-02-06,1580965200.0,48.64,47.83,48.78,47.32,8767561
2020-02-05,1580878800.0,47.84,48.29,48.35,47.49,9583003
2020-02-04,1580792400.0,46.66,47.08,47.98,46.50,10595051
2020-02-03,1580706000.0,45.86,45.68,46.91,45.58,10490511
2020-01-31,1580446800.0,46.63,45.55,46.83,45.47,12297380
2020-01-30,1580360400.0,45.40,47.19,47.33,45.39,11536592
2020-01-29,1580274000.0,46.58,45.95,46.72,45.89,5918724
2020-01-28,1580187600.0,46.14,46.30,46.59,45.81,7282864
2020-01-27,1580101200.0,46.00,45.76,46.36,45.59,9537889
2020-01-24,1579842000.0,48.39,47.15,48.52,47.00,11268065
2020-01-23,1579755600.0,48.40,48.42,48.66,47.96,8126208
2020-01-22,1579669200.0,48.15,48.93,49.03,47.86,6699817
2020-01-21,1579582800.0,48.04,48.45,48.88,47.82,8850267
2020-01-17,1579237200.0,49.10,48.34,49.26,48.15,10257157
2020-01-16,1579150800.0,46.99,49.00,49.07,46.98,13752569
2020-01-15,1579064400.0,47.31,47.12,47.65,46.93,7654921
2020-01-14,1578978000.0,48.07,47.71,48.12,47.54,8874757
2020-01-13,1578891600.0,48.17,48.02,48.25,47.78,8905976
2020-01-10,1578632400.0,48.13,47.80,48.16,47.62,7452948
2020-01-09,1578546000.0,48.50,48.11,48.54,47.89,9749820
2020-01-08,1578459600.0,47.47,47.91,48.00,47.39,10887013
2020-01-07,1578373200.0,47.34,47.62,48.01,47.30,9988785
2020-01-06,1578286800.0,46.65,47.34,47.39,46.59,6804294
2020-01-03,1578027600.0,47.44,47.01,47.60,46.90,6698924
2020-01-02,1577941200.0,47.76,48.23,48.38,47.55,5645779
2019-12-31,1577768400.0,47.83,47.56,47.94,47.39,8841377
2019-12-30,1577682000.0,48.50,47.82,48.63,47.74,5121412
2019-12-27,1577422800.0,48.55,48.34,48.70,48.27,3733589
2019-12-26,1577336400.0,48.76,48.57,48.92,48.51,3408607
2019-12-24,1577163600.0,48.81,48.71,48.81,48.34,1819045
2019-12-23,1577077200.0,48.43,48.71,48.85,48.03,6931795
2019-12-20,1576818000.0,48.29,48.12,48.40,47.90,15327316
2019-12-19,1576731600.0,48.66,48.20,48.88,47.96,9618182
2019-12-18,1576645200.0,49.65,48.66,49.65,48.55,19822150
2019-12-17,1576558800.0,49.56,49.49,49.71,49.44,9239399
2019-12-16,1576472400.0,50.50,49.72,50.52,49.68,11036807
2019-12-13,1576213200.0,51.15,49.95,51.36,49.81,15217075
2019-12-12,1576126800.0,49.84,51.07,51.65,49.66,16916747
2019-12-11,1576040400.0,48.93,49.60,49.61,48.91,11033593
2019-12-10,1575954000.0,48.81,49.19,49.24,48.67,8317851
2019-12-09,1575867600.0,48.90,48.95,49.05,48.63,7183684
2019-12-06,1575608400.0,49.57,48.95,49.97,48.92,14627076
2019-12-05,1575522000.0,49.27,48.74,49.30,48.50,9766940
2019-12-04,1575435600.0,48.64,49.03,49.39,48.64,6799030
2019-12-03,1575349200.0,49.02,48.66,49.10,48.32,11198495
2019-12-02,1575262800.0,49.96,49.57,50.33,49.57,11377640
2019-11-29,1575003600.0,49.55,49.50,50.02,49.34,4867683
2019-11-27,1574830800.0,49.59,49.84,50.05,49.19,11815034
2019-11-26,1574744400.0,49.22,49.24,49.79,48.66,23072489
2019-11-25,1574658000.0,47.70,49.31,49.49,47.39,37442480
2019-11-22,1574398800.0,47.68,48.20,48.60,47.41,16855461
2019-11-21,1574312400.0,50.02,48.03,50.97,47.50,42834376
2019-11-20,1574226000.0,44.07,44.75,44.81,43.63,6188318
2019-11-19,1574139600.0,44.43,44.40,44.78,44.21,6093546
2019-11-18,1574053200.0,44.27,44.18,44.35,43.56,6983082
2019-11-15,1573794000.0,43.78,44.35,44.44,43.63,7064370
2019-11-14,1573707600.0,42.70,43.38,43.41,42.44,5357988
2019-11-13,1573621200.0,43.01,42.81,43.01,42.41,4581474
2019-11-12,1573534800.0,43.34,43.48,43.90,43.12,3887109
2019-11-11,1573448400.0,43.11,43.23,43.54,43.06,3455156
2019-11-08,1573189200.0,43.47,43.54,43.78,43.34,4274177
2019-11-07,1573102800.0,43.53,43.50,43.85,43.29,5835032
2019-11-06,1573016400.0,43.28,43.08,43.56,42.97,4888356
2019-11-05,1572930000.0,43.25,43.42,43.70,42.67,8986192
2019-11-04,1572843600.0,42.26,43.22,43.32,42.10,8446466
2019-11-01,1572584400.0,41.21,41.78,42.02,41.19,6580669
2019-10-31,1572498000.0,41.05,40.71,41.30,40.01,7119772
2019-10-30,1572411600.0,40.75,41.30,41.66,40.45,5284737
2019-10-29,1572325200.0,41.18,40.96,41.60,40.87,5708320
2019-10-28,1572238800.0,41.18,41.48,41.77,41.05,5534541
2019-10-25,1571979600.0,40.75,40.98,41.26,40.61,3928346
2019-10-24,1571893200.0,41.42,40.99,41.48,40.58,6364753
2019-10-23,1571806800.0,40.77,41.37,41.54,40.65,6002279
2019-10-22,1571720400.0,40.89,40.92,41.44,40.64,7267852
2019-10-21,1571634000.0,40.53,40.90,41.01,40.23,7694384
2019-10-18,1571374800.0,39.43,39.94,40.05,39.43,7582813
2019-10-17,1571288400.0,39.56,39.45,39.73,39.20,7087623
2019-10-16,1571202000.0,38.68,39.02,39.57,38.67,13131328
2019-10-15,1571115600.0,38.97,39.74,40.23,38.27,12858469
2019-10-14,1571029200.0,37.03,37.72,37.83,37.03,9574076
2019-10-11,1570770000.0,36.99,37.28,37.71,36.82,11354443
2019-10-10,1570683600.0,36.20,36.14,36.58,35.99,13075047
2019-10-09,1570597200.0,35.59,35.67,36.06,35.49,14299734
2019-10-08,1570510800.0,35.00,35.23,35.42,34.58,13205959
2019-10-07,1570424400.0,35.87,35.45,36.15,35.44,10404789
2019-10-04,1570165200.0,35.10,35.67,35.79,35.08,14484509
2019-10-03,1570078800.0,36.14,35.10,36.43,34.92,24606500
2019-10-02,1569992400.0,37.21,36.51,37.36,36.41,20983511
2019-10-01,1569906000.0,39.80,37.76,39.88,36.92,35786402
2019-09-30,1569819600.0,41.74,41.83,41.93,41.30,4983902
2019-09-27,1569560400.0,41.28,41.41,41.61,41.15,6272323
2019-09-26,1569474000.0,41.69,40.89,41.80,40.64,8441250
2019-09-25,1569387600.0,41.82,41.80,42.34,41.68,7366008
2019-09-24,1569301200.0,42.78,41.79,42.95,41.57,5742297
2019-09-23,1569214800.0,42.25,42.58,42.82,41.94,4496132
2019-09-20,1568955600.0,42.99,42.78,43.40,42.75,11012576
2019-09-19,1568869200.0,43.14,42.92,43.33,42.74,5303889
2019-09-18,1568782800.0,42.67,43.23,43.36,42.23,6670484
2019-09-17,1568696400.0,43.13,43.11,43.22,42.65,6254017
2019-09-16,1568610000.0,43.08,43.60,43.74,42.99,6585000
2019-09-13,1568350800.0,43.60,43.62,44.00,43.49,6777611
2019-09-12,1568264400.0,42.16,43.07,43.16,41.68,8829392
2019-09-11,1568178000.0,42.00,42.76,42.78,41.51,6799691
2019-09-10,1568091600.0,41.37,41.95,41.95,41.27,8701733
2019-09-09,1568005200.0,40.28,41.10,41.32,40.28,7962576
2019-09-06,1567746000.0,39.59,39.90,40.10,39.44,7047941
2019-09-05,1567659600.0,39.49,39.62,40.37,39.32,9395037
2019-09-04,1567573200.0,38.53,38.67,38.73,38.33,6904044
2019-09-03,1567486800.0,38.01,37.96,38.11,37.30,7749754
2019-08-30,1567141200.0,38.18,38.27,38.42,37.91,6896913
2019-08-29,1567054800.0,37.09,37.76,37.95,37.06,7658240
2019-08-28,1566968400.0,35.87,36.73,36.82,35.85,10094382
2019-08-27,1566882000.0,36.84,36.12,37.10,36.11,9081812
2019-08-26,1566795600.0,37.00,36.67,37.15,36.52,5920464
2019-08-23,1566536400.0,37.55,36.58,38.03,36.35,8736678
2019-08-22,1566450000.0,37.99,37.87,38.16,37.62,6901632
2019-08-21,1566363600.0,37.87,37.61,37.90,37.35,4950378
2019-08-20,1566277200.0,37.40,37.32,37.59,37.01,6790544
2019-08-19,1566190800.0,37.85,37.70,38.09,37.46,5361664
2019-08-16,1565931600.0,36.85,37.14,37.53,36.78,6311761
2019-08-15,1565845200.0,36.85,36.56,37.04,36.10,7587123
2019-08-14,1565758800.0,36.52,36.59,37.13,36.09,13862219
2019-08-13,1565672400.0,36.33,37.68,38.02,36.28,11458292
2019-08-12,1565586000.0,36.35,36.41,36.53,36.01,8490951
2019-08-09,1565326800.0,37.19,36.87,37.34,36.49,13647576
2019-08-08,1565240400.0,37.69,37.45,37.80,37.16,14452080
2019-08-07,1565154000.0,38.38,37.58,38.43,37.10,21892114
2019-08-06,1565067600.0,39.36,39.41,39.57,38.73,9929988
2019-08-05,1564981200.0,39.82,38.84,39.90,38.45,13878256
2019-08-02,1564722000.0,41.32,40.75,41.55,40.33,8811908
2019-08-01,1564635600.0,42.93,41.29,43.02,41.12,21228901
2019-07-31,1564549200.0,43.17,43.22,43.49,42.80,9018404
2019-07-30,1564462800.0,43.31,43.02,43.39,42.80,6223447
2019-07-29,1564376400.0,43.90,43.71,44.09,43.51,7837476
2019-07-26,1564117200.0,44.08,44.05,44.24,43.71,12260577
2019-07-25,1564030800.0,44.45,44.07,44.55,43.76,8571957
2019-07-24,1563944400.0,43.49,44.28,44.28,43.46,11347340
2019-07-23,1563858000.0,43.26,43.53,43.75,43.22,10276961
2019-07-22,1563771600.0,42.76,43.16,43.45,42.56,8774205
2019-07-19,1563512400.0,41.75,42.72,43.04,41.63,12138906
2019-07-18,1563426000.0,41.31,41.48,42.09,41.15,10956806
2019-07-17,1563339600.0,41.46,41.21,41.61,40.81,7673782
2019-07-16,1563253200.0,41.00,41.63,42.14,40.90,16155394
