Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,233.96,234.33,239.44,233.41,3458017
2020-03-31,1585630800.0,243.95,245.05,248.18,240.49,3807431
2020-03-30,1585544400.0,241.41,246.99,248.63,239.01,2529539
2020-03-27,1585285200.0,239.08,239.75,246.53,236.77,2924894
2020-03-26,1585198800.0,231.53,244.95,246.55,230.41,2812343
2020-03-25,1585112400.0,202.78,227.19,234.70,217.33,2034246
2020-03-24,1585026000.0,202.78,218.66,219.40,199.90,2755784
2020-03-23,1584939600.0,202.83,192.05,212.03,191.32,2605201
2020-03-20,1584680400.0,211.01,208.79,215.00,205.11,3558629
2020-03-19,1584594000.0,192.79,207.78,211.92,186.74,3203523
2020-03-18,1584507600.0,212.90,193.08,218.52,186.06,4235652
2020-03-17,1584421200.0,228.62,227.66,231.29,220.15,3085375
2020-03-16,1584334800.0,222.61,222.16,232.32,209.69,3119429
2020-03-13,1584075600.0,237.73,248.10,249.92,225.68,3394465
2020-03-12,1583989200.0,224.23,221.46,231.39,213.67,4659918
2020-03-11,1583902800.0,250.91,240.36,254.77,237.23,3395473
2020-03-10,1583816400.0,252.51,259.17,259.43,245.68,3059284
2020-03-09,1583730000.0,249.84,242.51,258.78,241.95,3947456
2020-03-06,1583470800.0,268.89,271.06,272.31,264.00,2513676
2020-03-05,1583384400.0,289.30,278.42,289.48,274.96,1824765
2020-03-04,1583298000.0,285.03,296.06,296.24,281.93,1468325
2020-03-03,1583211600.0,289.83,280.14,297.64,277.66,2691843
2020-03-02,1583125200.0,271.05,289.31,291.27,269.22,3140765
2020-02-28,1582866000.0,260.22,265.91,265.92,257.00,2901471
2020-02-27,1582779600.0,276.85,267.15,277.38,267.15,2298287
2020-02-26,1582693200.0,283.72,282.77,289.34,281.35,1460483
2020-02-25,1582606800.0,291.25,282.63,292.82,280.95,1439359
2020-02-24,1582520400.0,284.81,290.90,292.73,283.32,2006010
2020-02-21,1582261200.0,301.42,293.25,301.88,291.65,2066660
2020-02-20,1582174800.0,310.09,303.41,310.37,300.52,1898476
2020-02-19,1582088400.0,308.14,311.16,312.94,307.18,1341095
2020-02-18,1582002000.0,306.93,306.74,308.93,304.28,1047031
2020-02-14,1581656400.0,301.73,307.65,307.70,300.55,979283
2020-02-13,1581570000.0,301.92,301.35,303.82,297.60,1107731
2020-02-12,1581483600.0,295.35,303.83,304.14,294.68,1288038
2020-02-11,1581397200.0,297.18,294.12,298.08,292.58,1397488
2020-02-10,1581310800.0,294.43,296.56,296.79,293.74,1069949
2020-02-07,1581051600.0,297.11,295.48,297.62,294.74,1401623
2020-02-06,1580965200.0,296.98,295.52,298.89,292.27,1975094
2020-02-05,1580878800.0,299.57,294.77,300.36,291.66,1320514
2020-02-04,1580792400.0,298.97,297.92,300.89,297.81,1277122
2020-02-03,1580706000.0,294.65,295.67,297.37,294.28,1002254
2020-01-31,1580446800.0,298.51,293.73,299.89,292.67,1209723
2020-01-30,1580360400.0,296.64,299.86,300.10,295.29,913883
2020-01-29,1580274000.0,298.92,297.31,300.71,297.01,760113
2020-01-28,1580187600.0,294.09,297.28,298.43,293.40,882437
2020-01-27,1580101200.0,291.00,293.13,293.93,290.01,919424
2020-01-24,1579842000.0,298.67,294.83,299.14,293.32,835826
2020-01-23,1579755600.0,294.39,297.19,297.94,294.39,813355
2020-01-22,1579669200.0,298.90,297.42,299.59,296.88,956340
2020-01-21,1579582800.0,294.76,296.20,297.59,294.01,1423494
2020-01-17,1579237200.0,299.42,296.79,299.44,295.41,2246627
2020-01-16,1579150800.0,296.19,298.19,298.20,294.02,789475
2020-01-15,1579064400.0,290.00,294.38,296.15,290.00,1066246
2020-01-14,1578978000.0,293.85,290.17,294.26,289.90,1249145
2020-01-13,1578891600.0,288.76,294.24,294.26,288.44,961736
2020-01-10,1578632400.0,290.64,288.94,290.91,288.09,834499
2020-01-09,1578546000.0,285.68,289.58,290.90,285.68,1316140
2020-01-08,1578459600.0,281.93,285.01,286.81,281.13,1004476
2020-01-07,1578373200.0,283.12,280.98,286.69,280.97,1253709
2020-01-06,1578286800.0,275.60,279.04,279.07,274.77,875497
2020-01-03,1578027600.0,274.55,276.91,278.20,274.03,576754
2020-01-02,1577941200.0,274.57,277.84,277.90,273.72,1092326
2019-12-31,1577768400.0,271.51,273.05,273.30,270.85,638939
2019-12-30,1577682000.0,274.38,271.94,274.74,271.01,539003
2019-12-27,1577422800.0,274.44,274.29,274.86,272.39,688782
2019-12-26,1577336400.0,273.33,273.56,274.33,272.43,450279
2019-12-24,1577163600.0,271.84,272.50,273.05,271.05,363043
2019-12-23,1577077200.0,272.92,271.37,273.44,270.90,1054441
2019-12-20,1576818000.0,272.50,271.66,273.91,270.50,1695071
2019-12-19,1576731600.0,268.96,272.48,272.52,268.78,1570452
2019-12-18,1576645200.0,272.34,269.45,272.57,268.90,1603950
2019-12-17,1576558800.0,274.03,271.56,274.03,271.56,1667538
