Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,28.60,28.47,29.29,28.09,9102295
2020-03-31,1585630800.0,31.81,30.84,32.43,30.21,8326838
2020-03-30,1585544400.0,33.16,32.56,33.53,31.68,7813051
2020-03-27,1585285200.0,32.49,33.27,34.76,32.26,8639477
2020-03-26,1585198800.0,30.83,34.28,34.67,30.54,10238447
2020-03-25,1585112400.0,30.04,30.67,32.00,28.85,13398767
2020-03-24,1585026000.0,26.93,30.12,30.39,26.23,10396825
2020-03-23,1584939600.0,28.00,25.69,29.13,25.51,12832477
2020-03-20,1584680400.0,30.31,30.04,30.69,28.00,15605695
2020-03-19,1584594000.0,27.61,29.97,32.00,26.52,10763116
2020-03-18,1584507600.0,27.23,28.32,29.47,26.04,11291563
2020-03-17,1584421200.0,28.28,29.27,29.74,25.94,14132562
2020-03-16,1584334800.0,28.47,27.37,30.32,24.01,12016840
2020-03-13,1584075600.0,32.78,33.83,34.14,30.64,12391376
2020-03-12,1583989200.0,30.32,30.22,33.16,28.94,12378589
2020-03-11,1583902800.0,35.08,33.66,35.49,33.31,11488070
2020-03-10,1583816400.0,36.23,36.34,36.87,33.93,14818147
2020-03-09,1583730000.0,36.46,34.51,37.95,33.89,15081824
2020-03-06,1583470800.0,41.49,40.67,42.49,39.55,13966399
2020-03-05,1583384400.0,45.42,43.61,45.51,43.02,12104129
2020-03-04,1583298000.0,47.24,47.38,47.60,45.86,9533194
2020-03-03,1583211600.0,48.39,46.89,49.40,46.44,10348505
2020-03-02,1583125200.0,48.10,48.81,48.82,45.61,8156663
2020-02-28,1582866000.0,46.05,46.14,46.91,44.92,10747242
2020-02-27,1582779600.0,49.79,47.55,50.23,47.54,7471655
2020-02-26,1582693200.0,51.71,50.70,52.21,50.65,6856782
2020-02-25,1582606800.0,53.75,51.31,53.78,51.15,7233299
2020-02-24,1582520400.0,53.65,53.77,54.34,53.27,7350918
