Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,32.53,31.93,33.00,31.26,11203913
2020-03-31,1585630800.0,35.44,34.45,36.37,33.92,11035575
2020-03-30,1585544400.0,35.00,35.87,36.10,34.01,9825788
2020-03-27,1585285200.0,34.46,35.77,37.19,34.17,11470316
2020-03-26,1585198800.0,32.38,36.18,36.72,32.23,15752284
2020-03-25,1585112400.0,31.40,32.03,33.74,29.99,16665223
2020-03-24,1585026000.0,30.88,31.20,31.50,29.76,14752157
2020-03-23,1584939600.0,31.76,28.93,32.25,28.59,13417602
2020-03-20,1584680400.0,33.88,32.57,33.93,31.05,20375936
2020-03-19,1584594000.0,32.33,33.21,33.93,31.07,16042749
2020-03-18,1584507600.0,31.39,33.00,33.96,30.91,18092911
2020-03-17,1584421200.0,33.37,33.72,34.31,31.24,16022465
2020-03-16,1584334800.0,30.05,32.57,35.50,30.00,14279971
2020-03-13,1584075600.0,34.62,37.10,37.15,32.96,20211428
2020-03-12,1583989200.0,33.63,31.61,34.40,31.02,20621124
2020-03-11,1583902800.0,37.00,36.21,37.65,35.53,18948657
2020-03-10,1583816400.0,38.44,38.64,38.93,36.15,16815707
2020-03-09,1583730000.0,38.02,36.32,39.05,35.88,17812040
2020-03-06,1583470800.0,41.68,42.45,42.73,41.41,14127558
2020-03-05,1583384400.0,45.30,43.78,45.30,43.13,12815769
2020-03-04,1583298000.0,46.57,46.66,46.80,45.32,12095635
2020-03-03,1583211600.0,47.98,46.10,49.04,45.68,13197702
2020-03-02,1583125200.0,46.48,48.16,48.16,45.51,12673932
2020-02-28,1582866000.0,46.01,46.44,46.71,44.91,24633447
2020-02-27,1582779600.0,48.70,47.52,49.58,47.51,13413943
2020-02-26,1582693200.0,51.19,49.66,51.45,49.65,12018527
2020-02-25,1582606800.0,53.03,50.72,53.33,50.55,10564594
2020-02-24,1582520400.0,53.05,53.08,53.60,52.95,7773758
2020-02-21,1582261200.0,54.52,54.55,54.69,54.05,5666030
2020-02-20,1582174800.0,54.57,54.80,55.23,54.52,4906182
2020-02-19,1582088400.0,54.70,54.75,54.88,54.61,4219792
2020-02-18,1582002000.0,54.88,54.42,55.10,53.80,5591757
2020-02-14,1581656400.0,55.21,55.11,55.33,54.84,4351459
2020-02-13,1581570000.0,54.66,55.18,55.37,54.48,4928082
2020-02-12,1581483600.0,55.26,54.81,55.69,54.79,4112596
2020-02-11,1581397200.0,54.71,54.93,55.31,54.70,5309416
2020-02-10,1581310800.0,54.44,54.64,54.64,54.10,5016066
2020-02-07,1581051600.0,54.64,54.62,54.74,54.30,3626662
2020-02-06,1580965200.0,55.52,54.80,55.60,54.73,4608849
2020-02-05,1580878800.0,55.00,55.20,55.39,54.81,6069738
