Date_Readable,Date_Unix_UTC,Open,Close,High,Low,Volume
2020-04-01,1585717200.0,27.02,26.57,27.37,26.20,48497405
2020-03-31,1585630800.0,29.41,28.70,29.75,28.16,36920282
2020-03-30,1585544400.0,30.36,29.92,30.48,28.89,41232839
2020-03-27,1585285200.0,30.02,30.28,31.29,29.08,38942842
2020-03-26,1585198800.0,29.33,30.90,31.39,29.08,45052992
2020-03-25,1585112400.0,29.00,28.97,30.30,27.77,53287512
2020-03-24,1585026000.0,26.96,28.92,29.17,26.33,48630317
2020-03-23,1584939600.0,26.26,25.25,26.87,25.11,47064127
2020-03-20,1584680400.0,28.68,26.50,28.75,26.18,73915797
2020-03-19,1584594000.0,27.66,28.29,29.11,26.29,53123498
2020-03-18,1584507600.0,27.70,28.12,28.89,26.90,51904083
2020-03-17,1584421200.0,27.63,29.63,30.62,25.89,58015928
2020-03-16,1584334800.0,26.34,26.50,29.23,26.30,57466710
2020-03-13,1584075600.0,30.15,30.89,31.76,27.77,78365669
2020-03-12,1583989200.0,29.81,27.20,30.86,27.12,68447627
2020-03-11,1583902800.0,34.05,32.33,34.27,32.01,44784160
2020-03-10,1583816400.0,34.63,35.08,35.08,32.28,40078709
2020-03-09,1583730000.0,33.72,32.48,34.48,32.22,53277150
2020-03-06,1583470800.0,37.00,37.09,37.68,36.33,56766462
2020-03-05,1583384400.0,40.00,38.90,40.01,38.57,45037864
2020-03-04,1583298000.0,41.01,41.40,41.43,39.96,33881480
2020-03-03,1583211600.0,42.06,40.53,42.90,40.03,45091021
2020-03-02,1583125200.0,40.98,42.26,42.28,39.46,44231229
2020-02-28,1582866000.0,41.31,40.85,41.87,39.75,71710072
2020-02-27,1582779600.0,43.32,42.47,44.32,42.43,41180045
2020-02-26,1582693200.0,45.48,44.14,45.65,44.13,27437440
2020-02-25,1582606800.0,46.29,45.12,46.67,44.96,31110106
2020-02-24,1582520400.0,46.58,46.39,46.95,46.26,23075930
2020-02-21,1582261200.0,47.48,47.70,47.85,47.10,21729106
2020-02-20,1582174800.0,47.00,47.34,47.41,46.68,15965494
2020-02-19,1582088400.0,47.25,47.09,47.35,46.98,15602522
2020-02-18,1582002000.0,47.97,46.99,48.12,46.53,22427844
2020-02-14,1581656400.0,48.14,48.22,48.32,47.75,15526365
2020-02-13,1581570000.0,47.62,48.12,48.18,47.55,12529964
2020-02-12,1581483600.0,48.22,47.79,48.49,47.76,16668133
2020-02-11,1581397200.0,48.08,47.99,48.34,47.94,13686081
2020-02-10,1581310800.0,47.67,47.77,47.86,47.42,15151007
2020-02-07,1581051600.0,47.73,47.84,48.00,47.48,13174648
2020-02-06,1580965200.0,48.44,47.98,48.50,47.85,18259189
2020-02-05,1580878800.0,47.90,48.31,48.40,47.78,19945931
2020-02-04,1580792400.0,47.70,47.26,47.84,47.25,14666111
2020-02-03,1580706000.0,47.24,47.12,47.72,47.03,15471985
2020-01-31,1580446800.0,47.42,46.94,47.45,46.75,23080445
2020-01-30,1580360400.0,47.17,47.91,47.95,47.04,14760210
2020-01-29,1580274000.0,47.42,47.27,47.90,47.26,16189560
2020-01-28,1580187600.0,47.51,47.37,47.79,47.28,16673308
2020-01-27,1580101200.0,46.89,47.10,47.42,46.74,18156167
2020-01-24,1579842000.0,48.19,47.57,48.21,47.18,21239603
2020-01-23,1579755600.0,48.39,48.22,48.45,47.98,17297943
2020-01-22,1579669200.0,49.03,48.56,49.09,48.29,20367677
2020-01-21,1579582800.0,49.09,48.94,49.88,48.80,30858265
2020-01-17,1579237200.0,49.37,49.18,49.42,48.53,29669233
2020-01-16,1579150800.0,48.46,49.25,49.32,47.84,37020214
2020-01-15,1579064400.0,48.83,48.32,48.84,47.98,47147978
2020-01-14,1578978000.0,50.23,49.30,50.74,49.25,56678417
2020-01-13,1578891600.0,52.50,52.11,52.50,51.83,25207426
2020-01-10,1578632400.0,52.79,52.50,52.90,52.48,13778540
2020-01-09,1578546000.0,53.20,52.73,53.20,52.48,20818099
2020-01-08,1578459600.0,52.84,52.82,53.33,52.80,16587622
2020-01-07,1578373200.0,53.05,52.66,53.05,52.47,13285117
2020-01-06,1578286800.0,52.74,53.10,53.20,52.72,13200655
2020-01-03,1578027600.0,53.11,53.42,53.62,52.90,15609670
2020-01-02,1577941200.0,53.85,53.75,54.04,53.51,16806063
2019-12-31,1577768400.0,53.53,53.80,53.82,53.46,12566101
2019-12-30,1577682000.0,54.17,53.60,54.26,53.50,10900535
2019-12-27,1577422800.0,54.29,53.92,54.32,53.87,9892762
2019-12-26,1577336400.0,54.05,54.15,54.39,53.95,12517137
2019-12-24,1577163600.0,53.95,53.82,54.04,53.74,4635459
2019-12-23,1577077200.0,53.34,53.81,54.00,53.25,17638360
2019-12-20,1576818000.0,54.05,53.33,54.05,53.07,66323247
2019-12-19,1576731600.0,53.74,53.63,53.83,53.42,18133501
2019-12-18,1576645200.0,54.46,53.67,54.46,53.63,18868265
2019-12-17,1576558800.0,54.11,54.34,54.51,53.99,16723358
2019-12-16,1576472400.0,54.24,54.22,54.56,54.22,19793887
2019-12-13,1576213200.0,54.05,53.79,54.42,53.43,19179788
2019-12-12,1576126800.0,53.37,54.36,54.55,53.10,19121951
2019-12-11,1576040400.0,53.74,53.17,53.98,53.07,16834475
2019-12-10,1575954000.0,53.49,53.69,53.87,53.38,15959626
2019-12-09,1575867600.0,54.17,53.92,54.55,53.91,15107447
2019-12-06,1575608400.0,53.86,54.37,54.41,53.69,18325935
2019-12-05,1575522000.0,53.41,53.23,53.53,53.10,13499709
2019-12-04,1575435600.0,52.60,53.24,53.48,52.54,18868398
2019-12-03,1575349200.0,53.01,52.58,53.05,52.17,25760216
2019-12-02,1575262800.0,54.31,53.62,54.44,53.55,20253309
2019-11-29,1575003600.0,54.07,54.46,54.75,54.07,10508630
2019-11-27,1574830800.0,54.15,54.34,54.40,54.01,16355412
2019-11-26,1574744400.0,54.11,53.81,54.12,53.73,18081019
2019-11-25,1574658000.0,54.53,54.21,54.53,54.04,15560980
2019-11-22,1574398800.0,53.90,54.28,54.35,53.81,13823402
2019-11-21,1574312400.0,53.84,53.56,53.93,53.34,16186126
2019-11-20,1574226000.0,53.73,53.54,53.86,53.25,14994768
2019-11-19,1574139600.0,54.10,54.03,54.33,53.87,14436526
2019-11-18,1574053200.0,53.84,54.00,54.11,53.65,14374870
2019-11-15,1573794000.0,53.78,53.80,53.94,53.43,15225623
2019-11-14,1573707600.0,53.22,53.49,53.56,53.10,16498145
2019-11-13,1573621200.0,53.81,53.29,53.90,53.21,16937719
2019-11-12,1573534800.0,53.75,54.22,54.24,53.62,15187629
2019-11-11,1573448400.0,53.79,54.05,54.14,53.73,10659938
2019-11-08,1573189200.0,53.83,54.10,54.23,53.56,14722656
2019-11-07,1573102800.0,53.78,54.00,54.40,53.78,23452471
2019-11-06,1573016400.0,53.29,53.80,53.84,53.17,22051098
2019-11-05,1572930000.0,52.74,53.30,53.50,52.74,25965273
2019-11-04,1572843600.0,52.58,52.72,52.80,52.24,17559945
2019-11-01,1572584400.0,52.13,52.18,52.29,51.91,16359347
2019-10-31,1572498000.0,51.77,51.63,52.03,51.15,18814737
2019-10-30,1572411600.0,51.88,52.03,52.28,51.62,16155863
2019-10-29,1572325200.0,51.50,52.17,52.36,51.50,21063049
2019-10-28,1572238800.0,51.94,51.65,52.05,51.57,23914846
2019-10-25,1571979600.0,51.08,51.57,51.73,51.00,17433347
2019-10-24,1571893200.0,50.66,51.10,51.20,50.66,17730618
2019-10-23,1571806800.0,50.72,50.93,50.97,50.57,15154572
2019-10-22,1571720400.0,50.44,50.62,51.02,50.23,19474216
2019-10-21,1571634000.0,50.28,50.46,50.50,50.18,20379314
2019-10-18,1571374800.0,49.34,49.97,50.22,49.32,21199754
