symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time,pe,eps
BAC,Bank of America Corporation,USD,21.60,21.68,22.20,21.10,35.72,17.95,-1.12,-4.93,22.72,188455026688,91085442,141824187,8724769792,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,7.85,2.75
BRK.B,Berkshire Hathaway Inc.,USD,179.66,178.50,184.24,176.72,231.61,159.50,-4.24,-2.31,183.90,436798357504,9568739,14750325,1382349952,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,0.00,49828.45
C,Citigroup Inc.,USD,43.80,44.13,45.50,43.00,83.11,32.00,-2.22,-4.82,46.02,91901599744,24324670,39802000,2098210048,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,5.45,8.04
JPM,JPMorgan Chase & Co.,USD,91.13,93.19,94.84,90.55,141.10,76.91,-6.99,-7.12,98.12,280131764224,28113315,34241137,3084000000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,8.50,10.72
WFC,Wells Fargo & Company,USD,30.28,30.02,31.29,29.08,54.75,25.11,-0.62,-2.01,30.90,123827036160,38033809,53948300,4089400064,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,7.48,4.05
AXP,American Express Company,USD,88.73,87.94,91.97,85.82,138.13,67.00,-4.56,-4.89,93.29,71496679424,6879462,11177237,805777984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,11.11,7.99
BLK,"BlackRock, Inc.",USD,434.34,428.54,449.48,421.12,576.81,323.98,-17.56,-3.89,451.90,67667566592,1023232,1603437,154828000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,15.28,28.43
GS,"The Goldman Sachs Group, Inc.",USD,158.34,159.08,163.73,157.00,250.46,130.85,-7.45,-4.49,165.79,54449004544,4083004,7249875,343873984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,7.53,21.03
MS,Morgan Stanley,USD,34.01,33.64,34.73,33.12,57.57,27.20,-1.70,-4.76,35.71,52116922368,33143370,26497500,1532400000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,6.55,5.19
USB,U.S. Bancorp,USD,35.77,34.46,37.19,34.17,61.11,28.59,-0.41,-1.13,36.18,54415470592,11140429,16493275,1521260032,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,8.60,4.16
CB,Chubb Limited,USD,108.41,104.81,113.48,104.08,167.74,87.35,-0.81,-0.74,109.22,48991346688,3630024,4129812,451972000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,11.16,9.71
PNC,"The PNC Financial Services Group, Inc.",USD,100.13,97.48,103.29,96.98,161.79,79.41,-2.79,-2.71,102.92,42928435200,2474073,4177412,428727008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-27 16:02:00,8.80,11.38
